"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","xERA","FIP","xFIP","WAR","BS","H","R","ER","HR","BB","HBP","WP","SO","GB","FB","LD","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","FB%","SL%","CT%","CB%","CH%","SF%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HLD","K%","BB%","SIERA","EV","LA","Barrel%","maxEV","HardHit%","CSW%","playerid"
"Todd Frazier","NYM","0","0","0","1","0","1.0","9.00","0.00","0.00",".000","100.0%","0.0%","0.0%","0.00","33.30","1.19","3.12","0.0","0","0","0","0","0","0","0","0","1","0","1","1",".000","0.00",".000","100.0%","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","61.5%","","","","","","27.3%","100.0%","38.5%","100.0%","100.0%","100.0%","15.4%","0.0%","0","33.3%","0.0%","2.98","104.8","22.7","50.0%","108.8","100.0%","15.4%","785"
"Corey Kluber","TEX","0","0","0","1","1","1.0","9.00","9.00","0.00",".000","100.0%","0.0%","0.0%","0.00","2.38","4.19","6.12","0.0","0","0","0","0","0","1","0","0","1","0","1","0",".000","1.00",".000","100.0%","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","50.0%","","16.7%","27.8%","5.6%","","36.4%","57.1%","44.4%","75.0%","100.0%","87.5%","38.9%","5.6%","0","33.3%","33.3%","8.08","80.5","57.0","0.0%","80.5","0.0%","22.2%","2429"
"Charlie Culberson","ATL","0","0","0","1","0","0.1","0.00","0.00","0.00",".000","100.0%","0.0%","0.0%","0.00","0.05","3.19","8.98","0.0","0","0","0","0","0","0","0","0","0","0","1","0",".000","0.00",".000","100.0%","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","","","","","","0.0%","100.0%","50.0%","","100.0%","100.0%","50.0%","0.0%","0","0.0%","0.0%","13.61","79.6","48.9","0.0%","79.6","0.0%","0.0%","3298"
"Pat Venditte","MIA","0","0","0","3","0","4.1","10.38","0.00","0.00",".125","100.0%","25.0%","0.0%","0.00","2.26","2.27","4.05","0.1","0","1","0","0","0","0","2","0","5","2","4","2",".077","0.23",".125","100.0%","0.50","25.0%","25.0%","50.0%","25.0%","0.0%","43.6%","56.4%","","","","","21.4%","63.0%","41.8%","33.3%","64.7%","56.5%","49.1%","18.2%","0","33.3%","0.0%","2.40","82.7","28.3","0.0%","106.8","25.0%","34.5%","7108"
"Neil Walker","PHI","0","0","0","1","0","0.2","0.00","13.50","0.00",".000","100.0%","0.0%","0.0%","0.00","2.34","7.69","13.48","0.0","0","0","0","0","0","1","0","0","0","0","2","0",".000","1.50",".000","100.0%","0.00","0.0%","0.0%","100.0%","50.0%","0.0%","85.7%","","","14.3%","","","36.4%","33.3%","35.7%","100.0%","100.0%","100.0%","21.4%","0.0%","0","0.0%","33.3%","14.79","78.2","54.2","0.0%","84.8","0.0%","14.3%","7539"
"Cory Gearrin","MIN","0","0","0","1","0","2.0","4.50","9.00","0.00",".000","100.0%","25.0%","0.0%","0.00","3.42","5.19","8.08","0.0","0","0","0","0","0","2","0","0","1","1","3","0",".000","1.00",".000","100.0%","0.33","0.0%","25.0%","75.0%","0.0%","0.0%","36.7%","33.3%","","","30.0%","","22.2%","75.0%","43.3%","75.0%","66.7%","69.2%","40.0%","13.3%","0","14.3%","28.6%","9.21","82.0","22.6","0.0%","92.6","0.0%","23.3%","7947"
"John Ryan Murphy","PIT","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","0.00","7.35","3.19","5.12","0.0","0","0","0","0","0","0","0","0","0","2","1","0",".000","0.00",".000","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","100.0%","","","","","","25.0%","100.0%","62.5%","100.0%","100.0%","100.0%","50.0%","0.0%","0","0.0%","0.0%","5.08","96.3","16.8","0.0%","102.1","66.7%","0.0%","10346"
"Jedd Gyorko","MIL","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","0.0%","0.0%","0.00","6.91","3.19","7.05","0.0","0","1","0","0","0","0","0","0","0","0","2","2",".250","1.00",".250","100.0%","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","100.0%","","","","","","0.0%","66.7%","36.4%","","100.0%","100.0%","54.5%","0.0%","0","0.0%","0.0%","8.77","86.6","39.6","0.0%","94.0","0.0%","18.2%","10816"
"Bryan Holaday","BAL","0","0","0","1","0","0.1","0.00","0.00","0.00",".667","100.0%","33.3%","0.0%","0.00","11.63","3.19","8.98","0.0","0","2","0","0","0","0","0","1","0","1","1","1",".667","6.00",".667","100.0%","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","76.9%","","","","","","28.6%","100.0%","61.5%","100.0%","100.0%","100.0%","46.2%","0.0%","0","0.0%","0.0%","6.39","97.6","18.9","0.0%","102.3","66.7%","7.7%","11287"
"Tommy Kahnle","NYY","0","0","0","1","0","1.0","27.00","9.00","0.00",".500","100.0%","100.0%","0.0%","0.00","0.81","0.19","0.19","0.1","0","1","0","0","0","1","0","0","3","2","0","0",".200","2.00",".500","100.0%","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","35.0%","","","","65.0%","","14.3%","61.5%","45.0%","0.0%","37.5%","33.3%","65.0%","30.0%","1","50.0%","16.7%","2.53","101.1","-10.0","0.0%","105.4","100.0%","60.0%","11384"
