"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","xERA","FIP","xFIP","WAR","BS","H","R","ER","HR","BB","HBP","WP","SO","GB","FB","LD","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","FB%","SL%","CT%","CB%","CH%","SF%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HLD","K%","BB%","SIERA","EV","LA","Barrel%","maxEV","HardHit%","CSW%","playerid"
"Jesse Biddle","CIN","0","0","0","1","0","0.2","13.50","13.50","0.00",".500","100.0%","100.0%","0.0%","0.00","2.60","4.69","4.69","0.0","0","1","0","0","0","1","0","0","1","2","0","0",".333","3.00",".500","100.0%","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","45.0%","30.0%","","25.0%","","","20.0%","70.0%","45.0%","100.0%","85.7%","88.9%","50.0%","5.0%","0","25.0%","25.0%","5.41","79.0","-27.3","0.0%","88.1","0.0%","25.0%","11437"
"Ryan Sherriff","TBR","1","0","1","10","0","9.2","1.86","1.86","0.00",".200","100.0%","56.7%","0.0%","0.00","2.66","3.40","5.39","0.1","0","6","0","0","0","2","0","0","2","17","10","3",".188","0.83",".200","100.0%","1.70","10.0%","56.7%","33.3%","0.0%","0.0%","80.2%","17.5%","","","2.4%","","37.7%","59.6%","47.6%","88.5%","91.2%","90.0%","45.2%","4.8%","1","5.9%","5.9%","5.53","85.0","4.8","0.0%","108.4","23.3%","23.8%","12249"
"Danny Coulombe","MIN","0","0","0","2","0","2.2","10.13","10.13","0.00",".286","100.0%","28.6%","0.0%","0.00","5.89","4.32","5.76","0.0","0","2","0","0","0","3","0","0","3","2","2","3",".200","1.88",".286","100.0%","1.00","42.9%","28.6%","28.6%","0.0%","0.0%","38.0%","16.0%","","46.0%","","","14.8%","65.2%","38.0%","75.0%","93.3%","89.5%","46.0%","4.0%","0","23.1%","23.1%","6.43","88.6","10.8","0.0%","100.1","28.6%","20.0%","13293"
"Mike Morin","MIA","1","0","0","3","0","4.0","4.50","2.25","0.00",".111","100.0%","22.2%","0.0%","0.00","2.75","2.94","4.87","0.1","0","1","0","0","0","1","0","0","2","2","4","3",".091","0.50",".111","100.0%","0.50","33.3%","22.2%","44.4%","25.0%","0.0%","65.9%","4.9%","","","29.3%","","34.8%","61.1%","46.3%","75.0%","100.0%","89.5%","43.9%","4.9%","0","16.7%","8.3%","5.21","93.2","22.3","11.1%","108.9","44.4%","22.0%","13442"
"Carson Kelly","ARI","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","50.0%","0.0%","0.00","2.32","3.19","5.12","0.0","0","1","0","0","0","0","0","0","0","2","1","1",".250","1.00",".250","100.0%","2.00","25.0%","50.0%","25.0%","0.0%","0.0%","100.0%","","","","","","12.5%","100.0%","41.7%","100.0%","100.0%","100.0%","33.3%","0.0%","0","0.0%","0.0%","5.51","89.9","1.7","0.0%","102.2","25.0%","25.0%","13620"
"Clay Holmes","PIT","0","0","0","1","0","1.1","6.75","0.00","0.00",".400","100.0%","60.0%","0.0%","0.00","2.77","1.69","3.14","0.0","0","2","0","0","0","0","0","0","1","3","1","1",".333","1.50",".400","100.0%","3.00","20.0%","60.0%","20.0%","0.0%","0.0%","31.8%","9.1%","","59.1%","","","33.3%","75.0%","40.9%","33.3%","100.0%","55.6%","18.2%","18.2%","0","16.7%","0.0%","3.04","75.9","1.4","0.0%","98.6","20.0%","36.4%","13649"
"Sal Romano","CIN","1","0","0","2","0","1.1","0.00","0.00","0.00",".000","100.0%","25.0%","0.0%","0.00","11.63","3.19","4.64","0.1","0","0","0","0","0","0","0","0","0","1","1","2",".000","0.00",".000","100.0%","1.00","50.0%","25.0%","25.0%","100.0%","0.0%","76.9%","23.1%","","","","","0.0%","75.0%","46.2%","","100.0%","100.0%","61.5%","0.0%","0","0.0%","0.0%","6.39","94.5","23.3","0.0%","105.3","75.0%","23.1%","13690"
"Kevin Plawecki","BOS","0","0","0","1","0","0.2","0.00","13.50","0.00",".000","100.0%","0.0%","0.0%","0.00","16.88","7.69","10.58","0.0","0","0","0","0","0","1","0","0","0","0","1","1",".000","1.50",".000","100.0%","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","100.0%","","","","","","0.0%","66.7%","18.2%","","100.0%","100.0%","27.3%","0.0%","0","0.0%","33.3%","12.89","93.8","33.7","0.0%","97.2","50.0%","18.2%","13807"
"Anthony Bemboom","LAA","0","0","0","1","0","1.0","0.00","9.00","0.00",".000","100.0%","0.0%","0.0%","0.00","8.48","6.19","11.98","0.0","0","0","0","0","0","1","0","0","0","0","3","0",".000","1.00",".000","100.0%","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","","","","","","22.2%","71.4%","43.8%","100.0%","100.0%","100.0%","43.8%","0.0%","0","0.0%","25.0%","13.77","91.6","35.8","33.3%","99.9","33.3%","12.5%","13854"
"Tyler Heineman","SFG","0","0","0","1","0","1.0","0.00","0.00","0.00",".333","100.0%","66.7%","0.0%","0.00","9.41","3.19","3.19","0.0","0","1","0","0","0","0","0","0","0","2","0","1",".333","1.00",".333","100.0%","2.00","33.3%","66.7%","0.0%","0.0%","0.0%","100.0%","","","","","","50.0%","100.0%","71.4%","100.0%","66.7%","80.0%","42.9%","14.3%","0","0.0%","0.0%","2.67","87.8","9.8","0.0%","93.8","0.0%","14.3%","13897"
"Matt Dermody","CHC","0","0","0","1","0","1.0","9.00","0.00","0.00",".000","100.0%","100.0%","0.0%","0.00","1.33","1.19","1.19","0.0","0","0","0","0","0","0","0","0","1","2","0","0",".000","0.00",".000","100.0%","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","44.4%","22.2%","","","33.3%","","0.0%","100.0%","55.6%","","80.0%","80.0%","55.6%","11.1%","0","33.3%","0.0%","-0.34","89.8","-4.6","0.0%","96.7","50.0%","11.1%","14844"
"Alex McRae","CHW","0","0","0","2","0","3.0","6.00","0.00","0.00",".125","100.0%","12.5%","0.0%","0.00","1.82","1.86","4.43","0.0","0","1","0","0","0","0","0","0","2","1","4","3",".100","0.33",".125","100.0%","0.25","37.5%","12.5%","50.0%","0.0%","0.0%","60.6%","27.3%","","3.0%","9.1%","","18.8%","76.5%","48.5%","100.0%","76.9%","81.3%","51.5%","9.1%","0","20.0%","0.0%","4.48","89.2","29.3","0.0%","107.9","25.0%","24.2%","16317"
"Foster Griffin","KCR","1","0","0","1","0","1.2","5.40","0.00","0.00",".000","100.0%","80.0%","0.0%","0.00","0.39","1.99","3.15","0.1","0","0","0","0","0","0","0","0","1","4","1","0",".000","0.00",".000","100.0%","4.00","0.0%","80.0%","20.0%","100.0%","0.0%","30.4%","39.1%","","17.4%","13.0%","","40.0%","87.5%","56.5%","50.0%","85.7%","69.2%","34.8%","17.4%","0","16.7%","0.0%","2.11","73.5","3.2","0.0%","92.4","0.0%","21.7%","16432"
"Luis Guillorme","NYM","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","0.00","0.22","3.19","5.12","0.0","0","0","0","0","0","0","0","0","0","2","1","0",".000","0.00",".000","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","100.0%","","","","","","40.0%","75.0%","55.6%","100.0%","100.0%","100.0%","44.4%","0.0%","0","0.0%","0.0%","5.08","84.4","3.2","0.0%","98.7","33.3%","11.1%","16451"
"Joe Harvey","COL","0","0","0","4","0","3.1","5.40","0.00","0.00",".273","100.0%","36.4%","0.0%","0.00","4.64","2.89","5.78","0.0","0","3","0","0","0","0","1","0","2","4","5","2",".231","0.90",".273","100.0%","0.80","18.2%","36.4%","45.5%","0.0%","0.0%","55.6%","42.6%","","","1.9%","","28.6%","73.1%","50.0%","50.0%","78.9%","70.4%","48.1%","14.8%","0","14.3%","0.0%","4.50","91.7","12.3","9.1%","105.7","36.4%","31.5%","16459"
"Max Schrock","STL","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","0.00","0.58","3.19","7.05","0.0","0","0","0","0","0","0","0","0","0","1","2","0",".000","0.00",".000","100.0%","0.50","0.0%","33.3%","66.7%","50.0%","0.0%","100.0%","","","","","","25.0%","75.0%","50.0%","100.0%","66.7%","75.0%","50.0%","12.5%","0","0.0%","0.0%","7.71","87.3","42.6","0.0%","105.0","33.3%","25.0%","17750"
"Jose Rodriguez","LAA","0","0","0","1","0","1.2","0.00","5.40","0.00",".286","100.0%","28.6%","0.0%","0.00","3.23","4.99","9.62","0.0","0","2","0","0","0","1","0","0","0","2","4","1",".286","1.80",".286","100.0%","0.50","14.3%","28.6%","57.1%","0.0%","0.0%","59.0%","","","10.3%","30.8%","","20.0%","73.7%","46.2%","75.0%","92.9%","88.9%","48.7%","5.1%","0","0.0%","12.5%","8.61","88.2","23.7","0.0%","96.6","14.3%","17.9%","17860"
"Ryan Meisinger","STL","0","0","0","2","0","2.2","10.12","13.50","0.00",".200","100.0%","60.0%","0.0%","0.00","9.52","6.57","7.29","0.0","0","1","0","0","0","4","1","0","3","3","1","1",".125","1.87",".200","100.0%","3.00","20.0%","60.0%","20.0%","0.0%","0.0%","62.9%","33.9%","","","3.2%","","15.4%","65.2%","33.9%","66.7%","86.7%","81.0%","37.1%","6.5%","0","23.1%","30.8%","7.99","84.2","1.9","20.0%","98.8","40.0%","19.4%","18105"
"Mitch White","LAD","1","0","0","2","0","3.0","6.00","3.00","0.00",".125","100.0%","12.5%","0.0%","0.00","1.74","2.86","6.71","0.0","0","1","0","0","0","1","0","0","2","1","6","1",".100","0.67",".125","100.0%","0.17","12.5%","12.5%","75.0%","16.7%","0.0%","50.0%","18.2%","","31.8%","","","29.6%","82.4%","50.0%","62.5%","85.7%","77.3%","38.6%","11.4%","0","18.2%","9.1%","6.25","83.1","41.9","0.0%","97.6","12.5%","25.0%","19225"
"Jacob Webb","ATL","0","0","0","8","0","10.0","9.00","4.50","0.00",".280","83.3%","60.0%","0.0%","0.00","3.18","2.69","4.04","0.1","0","7","2","0","0","5","0","0","10","15","7","3",".200","1.20",".280","83.3%","2.14","12.0%","60.0%","28.0%","28.6%","0.0%","52.4%","14.9%","","","32.7%","","33.3%","72.7%","48.8%","64.7%","72.9%","69.5%","39.3%","14.9%","0","25.0%","12.5%","4.15","89.8","9.3","4.0%","109.6","36.0%","30.4%","19274"
"Jimmy Lambert","CHW","0","0","0","2","0","2.0","9.00","0.00","0.00",".333","100.0%","33.3%","0.0%","0.00","0.97","1.19","5.05","0.0","0","2","0","0","0","0","0","0","2","2","4","0",".250","1.00",".333","100.0%","0.50","0.0%","33.3%","66.7%","0.0%","0.0%","48.5%","6.1%","","18.2%","27.3%","","18.8%","64.7%","42.4%","66.7%","81.8%","78.6%","51.5%","9.1%","0","25.0%","0.0%","3.65","88.5","21.2","0.0%","102.5","33.3%","27.3%","19541"
"Mike Brosseau","TBR","0","0","0","1","0","0.1","27.00","0.00","0.00",".000","100.0%","0.0%","0.0%","0.00","0.00","-2.81","-2.81","0.0","0","0","0","0","0","0","0","0","1","0","0","0",".000","0.00",".000","100.0%","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","","","","","","50.0%","0.0%","25.0%","100.0%","","100.0%","50.0%","0.0%","0","100.0%","0.0%","0.02","","","","","","50.0%","19683"
"Jeremy Beasley","ARI","0","0","0","1","0","0.1","27.00","0.00","0.00","1.000","100.0%","0.0%","0.0%","0.00","24.36","-2.81","-2.81","0.0","0","2","0","0","0","0","0","0","1","0","0","2",".667","6.00","1.000","100.0%","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","37.5%","25.0%","","","","37.5%","30.0%","66.7%","43.8%","33.3%","100.0%","71.4%","37.5%","12.5%","0","33.3%","0.0%","2.24","83.7","16.9","0.0%","87.0","0.0%","25.0%","20205"
"Jordan Holloway","MIA","0","0","0","1","0","0.1","0.00","27.00","0.00",".667","100.0%","66.7%","0.0%","0.00","22.47","12.19","17.98","0.0","0","2","0","0","0","1","0","0","0","2","1","0",".667","9.00",".667","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","62.5%","","","31.3%","6.3%","","11.1%","57.1%","31.3%","100.0%","100.0%","100.0%","43.8%","0.0%","0","0.0%","25.0%","9.54","103.0","6.3","33.3%","109.8","100.0%","25.0%","20631"
"Garrett Crochet","CHW","0","0","0","5","0","6.0","12.00","0.00","0.00",".231","100.0%","61.5%","0.0%","0.00","1.40","1.02","2.63","0.2","0","3","0","0","0","0","1","0","8","8","5","0",".143","0.50",".231","100.0%","1.60","0.0%","61.5%","38.5%","40.0%","0.0%","84.7%","10.6%","","","4.7%","","33.3%","70.3%","49.4%","68.8%","65.4%","66.7%","43.5%","16.5%","0","36.4%","0.0%","1.81","90.0","14.2","0.0%","110.3","46.2%","32.9%","27463"
"Devin Williams","MIL","4","1","0","22","0","27.0","17.67","3.00","0.33",".194","84.3%","61.1%","10.0%","0.33","1.42","0.86","1.09","1.4","0","8","4","1","1","9","1","3","53","22","10","4",".089","0.63",".194","84.3%","2.20","11.1%","61.1%","27.8%","10.0%","10.0%","43.9%","3.5%","","","52.7%","","35.9%","60.4%","44.1%","36.9%","64.4%","49.5%","33.4%","22.3%","9","53.0%","9.0%","1.56","83.7","2.4","5.4%","109.4","27.0%","40.4%","15816"
"Jake Diekman","OAK","2","0","0","21","0","21.1","13.08","5.06","0.42",".179","96.9%","61.5%","7.1%","0.42","2.42","2.72","3.38","0.5","1","8","2","1","1","12","1","0","31","24","14","1",".113","0.94",".179","96.9%","1.71","2.6%","61.5%","35.9%","0.0%","7.1%","59.3%","40.4%","","","0.3%","","28.7%","63.5%","44.4%","41.1%","71.3%","60.5%","44.9%","17.5%","13","36.9%","14.3%","3.41","86.0","6.7","7.5%","115.9","40.0%","38.1%","5003"
"Jarlin Garcia","SFG","2","1","0","19","0","18.1","6.87","3.44","0.00",".220","70.0%","46.0%","0.0%","0.49","3.42","3.14","5.03","0.3","0","11","6","1","0","7","2","0","14","23","18","9",".172","0.98",".220","70.0%","1.28","18.0%","46.0%","36.0%","11.1%","0.0%","48.6%","33.1%","","","18.3%","","22.5%","56.8%","40.1%","80.6%","85.5%","84.2%","51.4%","6.3%","6","19.2%","9.6%","4.66","88.3","12.5","4.0%","107.7","36.0%","30.6%","18282"
"Jesse Hahn","KCR","1","0","3","18","0","17.1","9.87","4.15","0.00",".108","92.3%","45.9%","0.0%","0.52","2.15","2.56","4.23","0.5","0","4","1","1","0","8","1","2","19","17","15","5",".071","0.69",".108","92.3%","1.13","13.5%","45.9%","40.5%","13.3%","0.0%","56.5%","12.7%","","30.8%","","","28.9%","57.1%","41.1%","70.8%","81.9%","77.5%","43.2%","9.2%","5","29.2%","12.3%","3.93","86.5","15.7","0.0%","109.0","27.0%","30.5%","13287"
"Tanner Houck","BOS","3","0","0","3","3","17.0","11.12","4.76","0.53",".161","95.9%","46.9%","9.1%","0.53","3.68","3.25","3.73","0.4","0","6","2","1","1","9","1","1","21","15","11","6",".113","0.88",".161","95.9%","1.36","18.8%","46.9%","34.4%","18.2%","9.1%","62.3%","35.5%","","","","2.3%","30.6%","69.5%","44.5%","57.7%","89.4%","75.4%","35.8%","10.9%","0","33.3%","14.3%","4.15","87.7","8.9","6.3%","106.3","34.4%","25.3%","19879"
"Nick Anderson","TBR","2","1","6","19","0","16.1","14.33","1.65","0.55",".143","90.9%","20.7%","4.8%","0.55","2.13","1.35","3.04","1.0","0","5","2","1","1","3","0","0","26","6","21","2",".091","0.49",".143","90.9%","0.29","6.9%","20.7%","72.4%","14.3%","4.8%","65.0%","","","35.0%","","","45.0%","78.3%","59.9%","52.5%","72.3%","64.1%","44.7%","21.5%","6","44.8%","5.2%","1.96","89.0","31.4","10.3%","106.5","41.4%","35.0%","18337"
"Yimi Garcia","MIA","3","0","1","14","0","15.0","11.40","3.00","0.00",".250","92.9%","41.7%","0.0%","0.60","2.77","1.66","3.20","0.6","1","9","1","1","0","5","0","0","19","15","12","9",".164","0.93",".250","92.9%","1.25","25.0%","41.7%","33.3%","33.3%","0.0%","49.4%","11.6%","28.6%","","10.4%","","31.9%","68.0%","46.9%","64.4%","82.4%","75.2%","41.5%","11.6%","4","31.7%","8.3%","3.16","88.3","17.9","5.6%","108.3","30.6%","29.0%","12095"
"Erasmo Ramirez","NYM","0","0","1","6","0","14.1","5.65","2.51","0.63",".179","100.0%","37.5%","5.6%","0.63","4.01","3.68","5.19","0.1","0","8","1","1","1","4","0","0","9","15","18","7",".163","0.84",".179","100.0%","0.83","17.5%","37.5%","45.0%","16.7%","5.6%","45.1%","5.6%","37.9%","","11.3%","","24.1%","77.2%","45.6%","64.3%","88.5%","80.9%","40.5%","8.7%","0","17.0%","7.5%","4.84","91.1","16.0","7.5%","110.7","40.0%","23.1%","10314"
"Alex Colome","CHW","2","0","12","21","0","22.1","6.45","3.22","0.00",".200","86.4%","52.4%","0.0%","0.81","2.99","2.97","4.26","0.6","1","13","3","2","0","8","1","0","16","33","15","15",".160","0.94",".200","86.4%","2.20","23.8%","52.4%","23.8%","6.7%","0.0%","28.3%","","71.7%","","","","39.2%","74.1%","52.0%","58.2%","82.0%","70.7%","36.8%","15.3%","0","17.8%","8.9%","4.44","87.4","4.0","3.1%","109.5","32.3%","27.0%","6661"
"A.J. Minter","ATL","1","1","0","22","0","21.2","9.97","3.74","0.42",".275","92.9%","49.0%","5.9%","0.83","2.90","2.82","3.74","0.4","0","15","3","2","1","9","0","1","24","25","17","9",".197","1.11",".275","92.9%","1.47","17.6%","49.0%","33.3%","11.8%","5.9%","38.8%","42.6%","","","18.6%","","31.0%","74.4%","49.4%","64.8%","76.0%","71.9%","42.3%","13.9%","5","28.2%","10.6%","3.74","84.5","9.4","3.8%","107.1","23.1%","27.7%","18655"
"Adam Kolarek","LAD","3","0","1","20","0","19.0","6.16","1.89","0.47",".185","95.6%","63.0%","8.3%","0.95","2.66","3.14","3.67","0.4","0","11","2","2","1","4","0","2","13","34","12","8",".162","0.79",".185","95.6%","2.83","14.8%","63.0%","22.2%","8.3%","8.3%","83.7%","9.1%","","","7.1%","","33.8%","67.3%","46.8%","78.8%","87.9%","83.9%","38.9%","7.5%","3","18.1%","5.6%","3.61","84.0","-0.2","0.0%","105.7","20.0%","24.2%","10843"
"Aaron Bummer","CHW","1","0","0","9","0","9.1","13.50","4.82","0.00",".263","90.0%","68.4%","0.0%","0.96","2.86","1.80","2.42","0.3","0","5","1","1","0","5","0","0","14","13","3","3",".152","1.07",".263","90.0%","4.33","15.8%","68.4%","15.8%","0.0%","0.0%","85.8%","5.8%","8.4%","","","","28.4%","55.0%","38.7%","44.4%","87.9%","68.3%","38.7%","12.3%","3","36.8%","13.2%","3.01","94.2","-8.7","5.3%","109.0","47.4%","36.1%","16258"
"Chris Martin","ATL","1","1","1","19","0","18.0","10.00","1.50","0.50",".171","84.9%","39.0%","6.7%","1.00","3.68","2.36","3.24","0.5","0","8","3","2","1","3","1","0","20","16","15","10",".129","0.61",".171","84.9%","1.07","24.4%","39.0%","36.6%","0.0%","6.7%","45.0%","25.9%","18.8%","","","10.3%","36.9%","72.1%","52.1%","61.0%","87.5%","76.9%","43.3%","12.1%","6","30.3%","4.5%","2.91","89.5","10.6","9.5%","105.5","42.9%","27.0%","11847"
"Jesus Tinoco","- - -","0","0","0","6","0","8.2","6.23","7.27","0.00",".158","90.0%","78.9%","0.0%","1.04","4.07","4.23","4.90","0.0","0","3","1","1","0","7","0","2","6","15","3","1",".120","1.15",".158","90.0%","5.00","5.3%","78.9%","15.8%","0.0%","0.0%","68.1%","11.1%","","20.8%","","","27.0%","68.2%","39.6%","59.3%","90.0%","75.4%","30.6%","9.7%","0","18.8%","21.9%","5.92","83.9","-0.3","0.0%","104.4","21.1%","24.3%","16300"
"Matt Wisler","MIN","0","1","1","18","4","25.1","12.43","4.97","0.71",".241","99.3%","23.6%","5.7%","1.07","2.71","3.35","4.99","0.6","1","15","3","3","2","14","2","1","35","13","35","7",".165","1.14",".241","99.3%","0.37","12.7%","23.6%","63.6%","20.0%","5.7%","16.6%","83.4%","","","","","30.5%","63.2%","45.3%","53.9%","78.3%","69.3%","45.0%","13.9%","3","32.7%","13.1%","4.00","86.3","29.6","3.6%","112.3","28.6%","33.6%","12804"
"Darren O'Day","ATL","4","0","0","19","0","16.1","12.12","2.76","0.55",".194","89.0%","27.0%","5.9%","1.10","2.66","2.76","3.97","0.3","1","8","3","2","1","5","3","0","22","10","17","10",".136","0.80",".194","89.0%","0.59","27.0%","27.0%","45.9%","5.9%","5.9%","57.1%","42.9%","","","","","36.2%","61.2%","45.6%","59.3%","78.3%","68.9%","37.5%","14.2%","2","32.8%","7.5%","3.05","83.9","18.7","2.7%","106.5","18.9%","34.9%","3321"
"Nick Tropeano","PIT","1","0","0","7","0","15.2","10.91","2.30","0.57",".317","96.6%","30.0%","5.6%","1.15","4.27","2.55","3.94","0.3","0","14","2","2","1","4","1","1","19","12","18","10",".230","1.15",".317","96.6%","0.67","25.0%","30.0%","45.0%","11.1%","5.6%","30.2%","","","31.0%","12.4%","26.4%","27.4%","69.8%","44.2%","42.5%","80.6%","66.4%","39.7%","14.9%","0","28.8%","6.1%","3.32","92.3","16.8","7.1%","111.4","42.9%","31.8%","12385"
"Taylor Guilbeau","SEA","0","0","0","8","0","7.2","3.52","7.04","0.00",".296","92.9%","44.4%","0.0%","1.17","5.81","4.76","6.77","0.0","0","8","1","1","0","6","0","1","3","12","8","7",".267","1.83",".296","92.9%","1.50","25.9%","44.4%","29.6%","12.5%","0.0%","58.5%","16.2%","","","25.4%","","25.6%","61.5%","40.0%","75.0%","93.8%","86.5%","40.0%","5.4%","1","8.3%","16.7%","7.07","89.1","15.0","0.0%","106.7","33.3%","22.3%","18306"
"Jordan Romano","TOR","2","1","2","15","0","14.2","12.89","3.07","1.23",".207","98.0%","58.1%","25.0%","1.23","2.68","3.12","2.40","0.4","1","8","3","2","2","5","0","0","21","18","8","5",".154","0.89",".207","98.0%","2.25","16.1%","58.1%","25.8%","12.5%","25.0%","40.1%","59.9%","","","","","35.0%","64.9%","47.3%","38.8%","74.6%","58.9%","40.9%","19.4%","5","36.8%","8.8%","2.59","92.3","-0.5","9.7%","107.4","48.4%","35.0%","16122"
