"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Khalil Lee","NYM","2","2","1","1","3","0","0.0%","0.0%","1.500",".000",".500",".500","2.000","1.036",".911","602","0.0","1.2","-1.1","0.0","1","0","0","0","0","0","0","0","2.500","1.00","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","0.0%","100.0%","66.7%","","100.0%","100.0%","66.7%","0.0%","50.0%","0.0%",".455","82.1","-0.4","50.0%","104.5","1.725","19952"
"Chadwick Tromp","ATL","1","4","0","0","3","0","0.0%","0.0%",".500",".750",".750",".750","1.250",".852",".503","467","0.0","1.7","0.0","0.2","3","1","2","0","0","0","0","0","2.000","1.00","75.0%","25.0%","0.0%","0.0%","0.0%","0.0%","50.0%","66.7%","57.1%","100.0%","100.0%","100.0%","42.9%","0.0%","50.0%","14.3%",".486","92.4","4.5","0.0%","103.5",".670","16953"
"Evan Phillips","LAD","64","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".689",".689","360","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","20.0%","0.0%","","20.0%","","","","","","","17734"
"Otto Lopez","TOR","8","10","0","0","3","0","10.0%","10.0%",".000",".750",".667",".700",".667",".599",".302","307","-0.2","2.1","-1.1","0.1","6","6","0","0","1","1","0","1","1.367","4.00","37.5%","50.0%","12.5%","0.0%","0.0%","25.0%","22.7%","64.3%","38.9%","100.0%","100.0%","100.0%","38.9%","0.0%","37.5%","22.2%",".283","85.5","4.2","0.0%","102.9",".308","19608"
"James Outman","LAD","4","16","1","6","3","0","12.5%","43.8%",".385","1.000",".462",".563",".846",".584",".319","288","0.6","4.1","0.1","0.5","6","3","2","0","2","7","1","0","1.409","1.00","33.3%","33.3%","33.3%","0.0%","50.0%","0.0%","30.3%","70.0%","49.2%","20.0%","81.0%","61.3%","47.6%","19.0%","83.3%","34.9%",".218","99.6","16.5","0.0%","109.5",".324","24770"
"Matt Carpenter","NYY","47","154","15","28","37","0","12.3%","22.7%",".422",".304",".305",".412",".727",".472",".362","217","-0.9","19.4","-2.5","2.3","39","15","9","0","19","35","5","0","1.138","0.43","23.9%","22.8%","53.3%","2.0%","30.6%","4.8%","20.7%","64.6%","41.1%","62.5%","85.3%","79.1%","46.5%","8.6%","42.1%","27.4%",".231","89.8","22.4","13.7%","107.7",".485","8090"
"Aaron Judge","NYY","157","696","62","133","131","16","15.9%","25.1%",".375",".340",".311",".425",".686",".458",".463","207","2.1","86.1","0.5","11.4","177","87","28","0","111","175","6","3","1.111","0.86","19.3%","37.3%","43.5%","4.6%","35.6%","7.4%","26.8%","67.6%","42.5%","51.7%","85.2%","72.2%","38.5%","11.8%","60.9%","28.7%",".305","95.8","14.9","26.2%","118.4",".706","15640"
"Joe Dunand","MIA","3","11","1","2","1","0","0.0%","27.3%",".400",".333",".300",".364",".700",".449",".205","197","0.1","1.3","0.5","0.2","3","1","1","0","0","3","1","0","1.064","0.20","14.3%","14.3%","71.4%","20.0%","20.0%","0.0%","25.0%","73.9%","48.9%","50.0%","88.2%","78.3%","48.9%","10.6%","28.6%","25.5%",".131","85.9","40.1","0.0%","99.0",".232","19727"
"David Hensley","HOU","16","34","1","7","5","0","14.7%","17.6%",".241",".409",".345",".441",".586",".440",".353","194","-1.1","2.4","-1.8","0.2","10","6","2","1","5","6","0","0","1.027","1.71","17.4%","52.2%","30.4%","0.0%","14.3%","8.3%","20.0%","66.1%","40.1%","81.3%","78.0%","78.9%","43.7%","8.5%","39.1%","29.6%",".254","90.3","-0.4","4.3%","104.9",".432","25111"
"Dalton Guthrie","PHI","14","28","1","3","5","1","21.4%","25.0%",".143",".462",".333",".500",".476",".437",".363","184","0.2","3.0","-1.0","0.3","7","6","0","0","6","7","1","0",".976","1.50","28.6%","42.9%","28.6%","0.0%","25.0%","33.3%","23.6%","66.7%","40.8%","52.9%","75.0%","67.3%","40.0%","13.3%","14.3%","30.8%",".237","76.8","8.1","7.1%","102.3",".344","21293"
