"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Edwin Rios","LAD","28","56","4","10","8","0","16.1%","37.5%",".340",".409",".277",".393",".617",".413",".406","160","-0.4","4.0","-1.5","0.4","13","6","2","1","9","21","0","0","1.010","1.71","26.9%","46.2%","26.9%","0.0%","57.1%","8.3%","28.5%","68.6%","44.5%","53.3%","80.6%","70.1%","39.9%","13.3%","65.4%","29.7%",".254","95.0","5.4","26.9%","112.5",".608","18316"
"Anthony Rendon","WSN","146","646","34","117","126","5","12.4%","13.3%",".279",".323",".319",".412",".598",".413",".414","155","0.4","47.1","2.4","6.8","174","93","44","3","80","86","12","1","1.010","0.72","21.2%","33.1%","45.7%","10.3%","15.9%","5.2%","23.8%","70.1%","43.1%","77.8%","93.2%","88.3%","41.8%","5.1%","46.6%","22.3%",".310","90.4","19.6","10.9%","107.7",".590","12861"
"Sam Hilliard","COL","27","87","7","13","13","2","10.3%","26.4%",".377",".298",".273",".356",".649",".407",".354","140","0.7","5.2","-1.0","0.7","21","8","4","2","9","23","1","0","1.006","1.10","18.5%","42.6%","38.9%","0.0%","33.3%","0.0%","28.8%","60.5%","41.8%","66.2%","78.9%","73.8%","41.0%","11.0%","42.6%","29.8%",".247","90.8","8.4","13.0%","114.1",".501","17954"
"Abraham Almonte","ARI","17","38","1","11","4","0","18.4%","21.1%",".258",".364",".290",".421",".548",".406",".348","151","1.5","4.0","0.5","0.6","9","4","3","1","7","8","0","0",".969","1.43","26.1%","43.5%","30.4%","42.9%","14.3%","0.0%","26.4%","71.2%","45.2%","54.2%","85.1%","74.6%","42.0%","11.5%","43.5%","26.1%",".240","89.7","9.2","4.3%","111.9",".397","5486"
"Brock Stewart","- - -","13","3","0","1","0","0","0.0%","0.0%",".333",".333",".333",".333",".667",".406",".286","154","0.0","0.2","0.4","0.1","1","0","1","0","0","0","0","0","1.000","0.00","33.3%","0.0%","66.7%","50.0%","0.0%","0.0%","40.0%","66.7%","54.5%","50.0%","75.0%","66.7%","54.5%","18.2%","33.3%","36.4%",".298","83.7","48.0","0.0%","99.0",".383","16727"
"Ketel Marte","ARI","144","628","32","97","92","10","8.4%","13.7%",".264",".342",".329",".389",".592",".405",".375","150","4.2","45.5","-1.5","6.2","187","110","36","9","53","86","4","2",".981","1.24","22.2%","43.1%","34.8%","8.3%","19.0%","4.3%","31.8%","71.6%","47.6%","73.3%","90.6%","83.6%","39.7%","7.8%","40.0%","22.4%",".300","90.0","11.6","9.1%","116.3",".525","13613"
"Mitch Garver","MIN","93","359","31","70","67","0","11.4%","24.2%",".357",".277",".273",".365",".630",".404",".382","155","-1.1","24.3","3.1","3.9","85","37","16","1","41","87","5","0",".995","0.82","13.7%","38.9%","47.3%","9.3%","29.0%","6.8%","20.0%","55.6%","35.0%","54.9%","88.0%","77.0%","41.9%","8.1%","50.0%","31.8%",".255","91.1","15.3","15.0%","109.7",".573","15161"
"Joey Gallo","TEX","70","297","22","54","49","4","17.5%","38.4%",".344",".368",".253",".389",".598",".401",".397","144","2.6","19.3","2.9","3.2","61","23","15","1","52","114","2","2",".986","0.58","25.6%","27.2%","47.2%","11.9%","37.3%","8.8%","24.2%","65.5%","40.7%","35.8%","73.1%","59.8%","39.9%","16.4%","52.7%","32.1%",".225","94.8","22.4","25.6%","115.4",".604","14128"
"George Springer","HOU","122","556","39","96","96","6","12.1%","20.3%",".299",".305",".292",".383",".591",".400",".400","155","0.9","40.1","4.3","6.3","140","78","20","3","67","113","6","2",".974","1.25","19.7%","44.6%","35.7%","8.3%","29.5%","7.9%","22.8%","72.1%","44.0%","56.5%","82.7%","75.0%","43.0%","11.0%","43.2%","25.8%",".283","89.8","10.4","12.2%","114.3",".578","12856"
"Howie Kendrick","WSN","121","370","17","61","62","2","7.3%","13.2%",".228",".359",".344",".395",".572",".400",".418","147","-1.9","20.9","-4.9","2.7","115","74","23","1","27","49","4","1",".966","1.47","18.7%","48.4%","32.9%","2.1%","17.9%","4.3%","33.1%","66.3%","47.5%","71.9%","92.5%","84.3%","43.2%","7.4%","48.3%","26.1%",".332","91.7","10.8","10.3%","112.4",".614","4229"
"Fernando Tatis Jr.","SDP","84","372","22","61","53","16","8.1%","29.6%",".272",".410",".317",".379",".590",".398",".347","151","3.0","27.9","-8.2","3.1","106","65","13","6","30","110","5","6",".969","1.51","22.4%","46.6%","30.9%","5.8%","31.9%","14.4%","31.8%","72.6%","47.6%","46.3%","81.5%","67.1%","38.8%","15.7%","44.1%","30.1%",".256","90.4","6.7","12.8%","115.9",".491","19709"
"Juan Soto","WSN","150","659","34","110","110","12","16.4%","20.0%",".266",".312",".282",".401",".548",".394",".409","143","-0.5","36.5","1.0","5.7","153","82","32","5","108","132","3","1",".949","1.12","21.2%","41.6%","37.2%","4.6%","22.2%","4.7%","23.4%","68.6%","40.8%","62.1%","86.6%","77.9%","38.5%","9.0%","47.8%","25.1%",".285","92.0","12.5","11.3%","112.8",".575","20123"
"Austin Hays","BAL","21","75","4","12","13","2","9.3%","17.3%",".265",".333",".309",".373",".574",".393",".352","146","1.1","5.4","1.8","1.0","21","11","6","0","7","13","0","0",".947","1.10","22.2%","40.7%","37.0%","0.0%","20.0%","13.6%","34.7%","63.6%","46.4%","61.7%","84.0%","74.1%","40.5%","12.0%","41.8%","28.2%",".288","91.0","11.5","5.5%","108.5",".468","19363"
"Nolan Arenado","COL","155","662","41","102","118","3","9.4%","14.0%",".269",".312",".315",".379",".583",".392",".343","130","2.5","28.3","17.3","6.5","185","111","31","2","62","93","4","2",".962","0.80","19.3%","36.0%","44.7%","15.1%","18.2%","9.4%","37.9%","73.3%","51.4%","69.5%","89.3%","80.3%","38.3%","10.1%","37.6%","22.7%",".270","89.4","17.6","6.8%","109.9",".480","9777"
"Anthony Rizzo","CHC","146","613","27","89","94","5","11.6%","14.0%",".227",".306",".293",".405",".520",".390",".388","140","-5.4","27.2","-8.0","3.8","150","91","29","3","71","86","27","2",".924","1.35","25.3%","42.9%","31.9%","9.6%","19.9%","3.3%","33.8%","65.3%","45.5%","74.5%","88.6%","82.0%","37.4%","8.2%","36.8%","24.2%",".297","89.0","12.6","6.5%","113.4",".487","3473"
"Xander Bogaerts","BOS","155","698","33","110","117","4","10.9%","17.5%",".246",".338",".309",".384",".555",".390",".355","141","1.0","37.5","-1.7","5.9","190","105","52","0","76","122","2","2",".939","1.04","19.1%","41.2%","39.8%","6.1%","16.7%","10.2%","29.4%","57.7%","41.1%","68.6%","89.4%","80.7%","41.3%","7.9%","43.6%","30.4%",".272","90.6","13.3","8.0%","112.4",".474","12161"
"Keston Hiura","MIL","84","348","19","51","49","9","7.2%","30.7%",".268",".402",".303",".368",".570",".388",".352","139","-0.1","17.8","-3.9","2.4","95","51","23","2","25","107","8","3",".938","1.00","24.0%","38.0%","38.0%","8.9%","24.1%","3.8%","35.1%","73.5%","51.3%","48.7%","76.9%","65.8%","42.3%","17.5%","48.1%","30.9%",".256","91.4","16.4","12.5%","112.4",".514","20003"
"Charlie Blackmon","COL","140","634","32","112","86","2","6.3%","16.4%",".262",".334",".314",".364",".576",".387",".367","127","-4.5","17.8","-20.9","1.7","182","101","42","7","40","104","9","5",".940","1.04","23.0%","39.2%","37.8%","7.7%","17.7%","4.8%","33.3%","70.8%","49.7%","70.2%","88.6%","81.7%","43.7%","9.1%","40.3%","24.7%",".295","88.7","14.5","7.9%","110.6",".525","7859"
"Freddie Freeman","ATL","158","692","38","113","121","6","12.6%","18.4%",".255",".318",".295",".389",".549",".387",".397","137","-0.1","34.0","-10.9","4.4","176","102","34","2","87","127","6","3",".938","1.12","27.5%","38.3%","34.1%","4.3%","23.6%","2.8%","32.9%","82.6%","51.9%","69.0%","82.7%","77.4%","38.3%","11.7%","42.4%","20.9%",".294","89.7","14.3","11.7%","112.0",".569","5361"
"J.D. Martinez","BOS","146","657","36","98","105","2","11.0%","21.0%",".252",".342",".304",".383",".557",".386",".396","139","-4.6","27.8","-15.4","3.5","175","104","33","2","72","138","4","0",".939","1.23","22.4%","42.8%","34.8%","2.6%","23.4%","7.4%","31.8%","75.7%","49.5%","56.2%","86.8%","75.0%","40.2%","12.3%","47.0%","25.5%",".301","91.3","12.5","10.8%","112.6",".567","6184"
"Mark Canha","OAK","126","497","26","80","58","3","13.5%","21.5%",".244",".308",".273",".396",".517",".386",".362","146","-1.2","28.3","-6.0","3.9","112","67","16","3","67","107","18","2",".913","1.01","18.4%","41.0%","40.7%","18.5%","21.0%","9.6%","25.0%","61.4%","40.4%","70.6%","83.8%","79.1%","42.4%","8.5%","40.7%","28.2%",".245","89.1","15.2","8.9%","110.9",".465","11445"
"Jeff McNeil","NYM","133","567","23","83","75","5","6.2%","13.2%",".214",".337",".318",".384",".531",".384",".350","144","-2.9","30.1","1.4","4.8","162","100","38","1","35","75","21","6",".916","1.25","22.1%","43.3%","34.7%","6.0%","15.4%","8.6%","41.7%","85.0%","59.9%","71.5%","88.1%","81.4%","42.0%","11.1%","36.7%","18.7%",".283","89.0","13.8","4.4%","107.2",".465","15362"
"Bo Bichette","TOR","46","212","11","32","21","4","6.6%","23.6%",".260",".368",".311",".358",".571",".384",".337","143","-1.2","10.3","-3.4","1.4","61","32","18","0","14","50","1","4",".930","1.31","22.6%","43.8%","33.6%","10.2%","22.4%","10.9%","38.6%","75.0%","53.3%","70.6%","81.1%","76.6%","40.5%","12.5%","43.5%","26.5%",".269","90.0","10.4","8.2%","108.0",".475","19612"
"Pete Alonso","NYM","161","693","53","103","120","1","10.4%","26.4%",".323",".280",".260",".358",".583",".384",".380","144","-2.2","37.9","-14.4","4.4","155","70","30","2","72","183","21","0",".941","0.98","18.0%","40.5%","41.5%","13.3%","30.6%","7.1%","34.6%","68.1%","46.6%","62.0%","83.4%","73.2%","35.9%","12.5%","42.2%","27.9%",".257","90.7","14.8","14.6%","118.3",".551","19251"
"Jordan Luplow","CLE","85","261","15","42","38","3","12.6%","23.4%",".276",".313",".276",".372",".551",".383",".352","141","1.3","14.9","2.7","2.6","62","31","15","1","33","61","2","2",".923","1.03","20.7%","40.2%","39.0%","7.8%","23.4%","7.6%","22.7%","75.2%","44.7%","59.6%","82.6%","75.9%","42.0%","10.8%","38.8%","25.7%",".247","89.6","16.1","11.5%","108.8",".474","16424"
"Johnny Davis","TBR","8","4","0","5","0","0","0.0%","50.0%",".500",".500",".250",".250",".750",".382",".236","146","0.0","0.2","-0.2","0.0","1","0","0","1","0","2","0","0","1.000","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","77.8%","100.0%","84.6%","57.1%","100.0%","72.7%","30.8%","23.1%","0.0%","23.1%",".248","90.8","27.5","0.0%","92.7",".298","15830"
"Aaron Judge","NYY","102","447","27","75","55","3","14.3%","31.5%",".267",".360",".272",".381",".540",".382",".398","141","0.4","23.8","4.0","4.3","103","57","18","1","64","141","3","2",".921","1.25","27.3%","40.3%","32.4%","2.6%","35.1%","6.3%","24.6%","68.1%","41.9%","40.3%","78.6%","65.1%","39.8%","14.6%","56.9%","31.7%",".274","96.0","11.2","19.7%","118.1",".574","15640"
"Eugenio Suarez","CIN","159","662","49","87","103","3","10.6%","28.5%",".301",".312",".271",".358",".572",".381",".355","130","-6.2","20.4","1.9","4.2","156","83","22","2","70","189","11","2",".930","0.85","21.7%","36.0%","42.3%","11.4%","29.5%","7.1%","26.6%","68.6%","44.4%","51.3%","84.6%","73.1%","42.3%","12.0%","40.1%","29.2%",".247","89.3","17.7","12.8%","112.3",".500","12552"
"Carlos Correa","HOU","75","321","21","42","59","1","10.9%","23.4%",".289",".303",".279",".358",".568",".380",".392","142","0.5","17.6","9.7","3.8","78","40","16","1","35","75","2","0",".926","0.99","21.3%","39.1%","39.6%","9.8%","25.6%","13.6%","31.1%","62.6%","44.3%","66.4%","84.4%","77.1%","42.0%","10.2%","40.2%","29.1%",".282","89.0","12.5","12.4%","112.8",".552","14162"
"Mookie Betts","BOS","150","706","29","135","80","16","13.7%","14.3%",".229",".309",".295",".391",".524",".380",".411","135","5.6","36.8","3.4","6.4","176","102","40","5","97","101","3","3",".915","0.72","24.8%","31.5%","43.8%","10.0%","13.1%","6.9%","21.4%","61.5%","38.3%","71.9%","93.7%","86.6%","42.3%","5.1%","46.9%","25.7%",".311","91.0","19.2","9.3%","109.3",".577","13611"
"Trevor Story","COL","145","656","35","111","85","23","8.8%","26.5%",".260",".361",".294",".363",".554",".380",".341","122","5.9","25.0","19.1","6.3","173","95","38","5","58","174","7","8",".917","0.79","24.3%","33.4%","42.3%","7.4%","19.9%","7.2%","31.5%","72.0%","48.0%","60.1%","84.8%","75.2%","40.8%","11.9%","46.0%","26.0%",".260","91.0","17.5","7.7%","111.8",".464","12564"
"Randy Arozarena","STL","19","23","1","4","2","2","8.7%","17.4%",".200",".333",".300",".391",".500",".380",".312","139","-0.1","1.1","0.6","0.2","6","4","1","0","2","4","1","1",".891","1.80","12.5%","56.3%","31.3%","20.0%","20.0%","22.2%","26.8%","66.7%","43.9%","86.7%","71.4%","76.7%","42.9%","10.2%","37.5%","27.6%",".220","90.7","5.6","6.3%","107.8",".385","19290"
