"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Will Smith","SFG","63","2","0","0","2","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".870",".803","459","0.0","0.9","0.2","0.1","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","66.7%","33.3%","","100.0%","100.0%","50.0%","0.0%","50.0%","16.7%",".887","95.1","11.0","0.0%","95.1",".971","8048"
"Oliver Drake","TBR","50","1","0","0","1","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".870",".312","475","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","75.0%","","100.0%","100.0%","75.0%","0.0%","100.0%","0.0%",".347","96.2","-1.0","0.0%","96.2",".387","8823"
"R.J. Alaniz","- - -","12","1","0","0","1","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".870",".855","451","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","75.0%","60.0%","","66.7%","66.7%","80.0%","20.0%","0.0%","40.0%",".920","83.7","14.0","0.0%","83.7","1.046","10819"
"Seth Lugo","NYM","61","1","0","0","1","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".870",".594","462","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","66.7%","40.0%","","100.0%","100.0%","60.0%","0.0%","0.0%","40.0%",".660","75.0","15.0","0.0%","75.0",".700","12447"
"John Brebbia","STL","66","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".870",".864","460","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","","100.0%","100.0%","","100.0%","","0.0%","0.0%","0.0%",".960","70.5","23.0","0.0%","70.5","1.024","12777"
"Gregory Soto","DET","33","2","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".870",".617","470","0.0","0.9","0.2","0.1","2","2","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","40.0%","","100.0%","100.0%","80.0%","0.0%","50.0%","40.0%",".650","92.4","13.5","0.0%","105.5",".769","19677"
"Francisco Liriano","PIT","69","2","0","0","0","0","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".780",".409","398","0.0","0.8","0.2","0.1","1","1","0","0","1","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","14.3%","62.5%","40.0%","0.0%","100.0%","83.3%","53.3%","6.7%","0.0%","20.0%",".117","63.4","-55.0","0.0%","63.4",".117","3201"
"John Means","BAL","31","3","0","0","0","0","33.3%","0.0%",".000","1.000","1.000","1.000","1.000",".780",".363","408","0.0","1.2","0.4","0.2","1","1","0","0","1","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","28.6%","40.0%","33.3%","100.0%","100.0%","100.0%","41.7%","0.0%","0.0%","16.7%",".040","80.7","-34.0","0.0%","80.7",".040","16269"
"Wade LeBlanc","SEA","26","2","0","0","0","0","50.0%","0.0%",".000",".000",".000","1.000",".000",".690",".690","353","0.0","0.6","0.2","0.1","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","33.3%","14.3%","","100.0%","100.0%","42.9%","0.0%","0.0%","28.6%","","","","0.0%","","","5221"
"Chasen Shreve","STL","3","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".690",".690","342","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","33.3%","0.0%","","33.3%","","","","","","","10855"
"Robert Gsellman","NYM","52","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".690",".690","345","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","16.7%","0.0%","","33.3%","","","","","","","13696"
"Aaron Wilkerson","MIL","8","3","1","1","2","0","0.0%","33.3%","1.000",".000",".333",".333","1.333",".647",".273","308","0.0","0.8","0.4","0.1","1","0","0","0","0","1","0","0","1.667","1.00","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","12.5%","83.3%","42.9%","100.0%","100.0%","100.0%","42.9%","0.0%","50.0%","28.6%",".169","87.9","-4.5","0.0%","97.0",".499","16904"
"Caleb Ferguson","LAD","46","2","0","1","0","0","0.0%","0.0%",".500",".500",".500",".500","1.000",".608",".140","287","0.0","0.5","0.2","0.1","1","0","1","0","0","0","0","0","1.500","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","33.3%","66.7%","55.6%","100.0%","100.0%","100.0%","66.7%","0.0%","0.0%","33.3%",".155","80.3","-39.5","0.0%","88.5",".160","19349"
"Trent Thornton","TOR","32","3","0","2","0","0","0.0%","0.0%",".000",".667",".667",".667",".667",".580",".523","275","0.0","0.7","0.4","0.1","2","2","0","0","0","0","0","0","1.333","2.00","33.3%","66.7%","0.0%","0.0%","0.0%","0.0%","33.3%","75.0%","57.1%","100.0%","100.0%","100.0%","57.1%","0.0%","66.7%","14.3%",".560","88.6","4.0","0.0%","101.4",".627","17948"
"Christian Colon","CIN","8","8","0","1","1","0","0.0%","0.0%",".000",".500",".500",".625",".500",".506",".309","213","-0.3","0.9","0.0","0.1","3","3","0","0","0","0","2","0","1.125","5.00","0.0%","83.3%","16.7%","0.0%","0.0%","20.0%","33.3%","80.0%","50.0%","50.0%","100.0%","78.6%","35.7%","10.7%","0.0%","25.0%",".135","81.3","-5.8","0.0%","89.7",".180","11145"
"Jacob Nottingham","MIL","9","7","1","1","4","0","0.0%","28.6%",".500",".333",".333",".429",".833",".504",".238","215","0.0","1.1","0.1","0.1","2","1","0","0","0","2","1","0","1.262","0.33","0.0%","25.0%","75.0%","0.0%","33.3%","0.0%","21.1%","60.0%","38.2%","75.0%","66.7%","69.2%","44.1%","11.8%","50.0%","29.4%",".139","93.5","29.8","0.0%","98.7",".252","16448"
"Tyrone Taylor","MIL","15","12","0","1","1","0","8.3%","8.3%",".200",".444",".400",".500",".600",".465",".317","190","0.0","1.4","0.2","0.2","4","2","2","0","1","1","1","0","1.100","8.00","11.1%","88.9%","0.0%","0.0%","0.0%","0.0%","13.6%","61.9%","37.2%","33.3%","100.0%","87.5%","48.8%","4.7%","11.1%","30.2%",".263","79.1","-5.8","0.0%","99.1",".282","13675"
"Shelby Miller","TEX","19","3","0","0","0","0","66.7%","33.3%",".000",".000",".000",".667",".000",".460",".460","184","0.0","0.3","0.4","0.1","0","0","0","0","2","1","0","0",".667","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.0%","50.0%","21.4%","100.0%","50.0%","66.7%","28.6%","7.1%","","21.4%","","","","","","","10197"
"Lane Thomas","STL","34","44","4","6","12","1","9.1%","18.2%",".368",".308",".316",".409",".684",".445",".383","182","-0.1","4.7","1.4","0.7","12","7","0","1","4","8","2","1","1.093","1.75","26.7%","46.7%","26.7%","25.0%","50.0%","14.3%","22.0%","65.3%","40.6%","68.2%","89.8%","83.1%","42.9%","6.9%","43.3%","27.4%",".285","91.7","6.4","13.3%","108.7",".515","16939"
"Christian Yelich","MIL","130","580","44","100","97","30","13.8%","20.3%",".342",".355",".329",".429",".671",".442",".429","174","8.5","65.2","-9.5","7.2","161","85","29","3","80","118","8","2","1.100","1.20","20.9%","43.2%","35.9%","7.5%","32.8%","6.2%","30.6%","71.2%","45.2%","56.8%","87.0%","73.8%","35.9%","11.8%","48.7%","25.8%",".314","93.3","11.3","15.8%","117.9",".629","11477"
"Mike Trout","LAA","134","600","45","110","104","11","18.3%","20.0%",".353",".298",".291",".438",".645",".436",".460","177","7.1","65.9","-1.5","8.4","137","63","27","2","110","120","16","2","1.083","0.49","26.6%","24.3%","49.2%","9.8%","25.9%","11.6%","20.5%","61.2%","36.8%","69.2%","88.8%","82.3%","40.1%","6.5%","43.8%","25.8%",".310","90.9","22.2","17.5%","116.6",".678","10155"
"David Price","BOS","22","2","0","0","1","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".435",".066","171","0.0","0.2","0.2","0.0","1","1","0","0","0","1","0","0","1.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","","75.0%","75.0%","","66.7%","66.7%","100.0%","25.0%","0.0%","50.0%",".073","89.1","-10.0","0.0%","89.1",".075","3184"
"Jesse Chavez","TEX","48","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".435",".347","167","0.0","0.2","0.2","0.0","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","25.0%","33.3%","0.0%","100.0%","50.0%","66.7%","16.7%","0.0%","83.3%",".384","80.1","14.0","0.0%","80.1",".425","5448"
"Brett Anderson","OAK","31","8","0","1","0","0","0.0%","25.0%",".000",".667",".500",".500",".500",".435",".269","180","0.0","0.8","1.0","0.2","4","4","0","0","0","2","0","0","1.000","3.00","40.0%","60.0%","0.0%","0.0%","0.0%","0.0%","27.3%","58.3%","43.5%","33.3%","85.7%","70.0%","52.2%","13.0%","33.3%","47.8%",".279","87.2","-1.6","0.0%","97.3",".328","8223"
"Chris Flexen","NYM","9","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".435",".396","177","0.0","0.2","0.2","0.0","1","1","0","0","0","0","0","0","1.000","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","66.7%","40.0%","","100.0%","100.0%","60.0%","0.0%","0.0%","20.0%",".427","81.3","-3.5","0.0%","93.0",".478","13896"
"Matthew Boyd","DET","32","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".435",".219","176","0.0","0.2","0.2","0.0","1","1","0","0","0","1","0","0","1.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","33.3%","100.0%","66.7%","100.0%","100.0%","100.0%","50.0%","0.0%","100.0%","16.7%",".234","96.0","3.0","0.0%","96.0",".280","15440"
"Dennis Santana","LAD","3","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".435",".425","174","0.0","0.2","0.2","0.0","1","1","0","0","0","0","0","0","1.000","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","40.0%","75.0%","55.6%","50.0%","100.0%","80.0%","44.4%","11.1%","0.0%","22.2%",".467","90.4","7.0","0.0%","94.3",".502","17878"
"Yordan Alvarez","HOU","87","369","27","58","78","0","14.1%","25.5%",".342",".366",".313",".412",".655",".432",".410","177","-1.8","34.3","-10.5","3.6","98","45","26","0","52","94","2","0","1.067","1.02","24.9%","38.0%","37.1%","1.2%","32.9%","3.6%","30.7%","63.0%","43.2%","64.1%","84.9%","75.9%","38.8%","10.4%","48.4%","27.0%",".288","92.2","13.4","16.3%","117.9",".597","19556"
"Alex Bregman","HOU","156","690","41","122","112","5","17.2%","12.0%",".296",".281",".296",".423",".592",".418",".373","167","-2.1","57.3","1.7","8.1","164","84","37","2","119","83","9","1","1.015","0.69","22.5%","31.5%","45.9%","11.8%","18.6%","2.0%","18.8%","58.8%","35.1%","77.0%","91.7%","87.0%","40.6%","4.6%","37.2%","25.0%",".263","89.3","19.6","4.6%","107.4",".453","17678"
"Nelson Cruz","MIN","120","521","41","81","108","0","10.7%","25.1%",".328",".351",".311",".392",".639",".417",".415","164","-4.5","38.1","-12.3","4.3","141","74","26","0","56","131","7","1","1.031","0.98","20.2%","39.6%","40.2%","7.6%","31.3%","9.3%","30.5%","72.0%","46.2%","53.6%","80.9%","69.7%","37.8%","14.0%","51.4%","27.4%",".290","93.7","13.1","18.7%","117.0",".637","2434"
"Andrew Stevenson","WSN","30","37","0","4","0","0","16.2%","29.7%",".100",".579",".367",".486",".467",".417",".339","158","-1.1","1.7","0.5","0.3","11","9","1","1","6","11","1","1",".953","1.80","22.2%","50.0%","27.8%","20.0%","0.0%","11.1%","35.4%","71.8%","49.5%","62.5%","78.4%","71.4%","38.6%","14.1%","31.6%","25.5%",".216","84.6","12.1","10.5%","103.0",".388","17932"
"David Freese","LAD","79","186","11","35","29","0","12.4%","23.7%",".284",".374",".315",".403",".599",".415",".384","161","-2.1","12.8","-2.8","1.5","51","27","13","0","23","44","1","0","1.002","1.44","25.4%","44.1%","30.5%","8.3%","30.6%","1.9%","29.3%","64.6%","44.8%","58.5%","79.7%","71.9%","43.9%","12.6%","50.0%","30.9%",".285","91.5","11.0","15.3%","110.0",".529","9549"
"Cody Bellinger","LAD","156","660","47","121","115","15","14.4%","16.4%",".324",".302",".305",".406",".629",".415",".430","161","1.4","54.2","4.5","7.7","170","86","34","3","95","108","3","5","1.035","0.74","26.2%","31.5%","42.4%","8.9%","24.6%","10.6%","26.8%","70.4%","44.4%","69.5%","83.0%","78.1%","40.4%","9.7%","45.6%","24.6%",".319","91.1","17.9","12.6%","110.6",".635","15998"
"Ryan Lavarnway","CIN","5","19","2","4","7","0","5.3%","26.3%",".444",".273",".278",".316",".722",".414",".302","153","0.3","1.6","0.0","0.2","5","1","2","0","1","5","0","0","1.038","1.00","23.1%","38.5%","38.5%","0.0%","40.0%","0.0%","33.3%","65.7%","48.6%","69.2%","82.6%","77.8%","47.3%","10.8%","38.5%","31.1%",".212","88.0","10.5","7.7%","104.3",".481","8879"
