"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Danys Baez","BAL","59","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".895","","468","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","","50.0%","50.0%","","100.0%","100.0%","100.0%","0.0%","","50.0%","","","","","","","367"
"Edgar Gonzalez","OAK","26","2","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".895","","474","0.0","0.9","0.2","0.1","2","2","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","60.0%","42.9%","","66.7%","66.7%","71.4%","14.3%","","42.9%","","","","","","","1727"
"Osiris Matos","SFG","5","1","0","0","1","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".895","","479","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","33.3%","","100.0%","100.0%","66.7%","0.0%","","33.3%","","","","","","","4100"
"Dave Davidson","FLA","1","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".895","","476","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","100.0%","","50.0%","50.0%","100.0%","50.0%","","50.0%","","","","","","","4929"
"Carlos Corporan","MIL","1","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".895","","478","-0.1","0.4","0.0","0.0","1","1","0","0","0","0","0","0","2.000","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","50.0%","100.0%","75.0%","100.0%","100.0%","100.0%","50.0%","0.0%","","0.0%","","","","","","","5587"
"Bruce Chen","KCR","17","2","0","0","0","0","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".801","","408","0.0","0.8","0.2","0.1","1","1","0","0","1","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","25.0%","42.9%","33.3%","100.0%","100.0%","100.0%","46.7%","0.0%","","26.7%","","","","","","","769"
"Adam Eaton","- - -","12","1","0","1","1","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".707","","342","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","20.0%","0.0%","","20.0%","","","","","","","1029"
"Pedro Feliciano","NYM","88","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".707","","355","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","","","","","0.0%","","0.0%","","","","","","","1601"
"Bobby Keppel","MIN","37","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".707","","348","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","","","","","0.0%","","0.0%","","","","","","","2229"
"Hayden Penn","FLA","16","2","0","0","0","0","50.0%","0.0%",".000",".000",".000","1.000",".000",".707","","350","0.0","0.6","0.2","0.1","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","33.3%","14.3%","","100.0%","100.0%","42.9%","0.0%","","25.0%","","","","","","","4893"
"Dusty Brown","BOS","7","4","1","1","1","0","25.0%","0.0%","1.000",".000",".333",".500","1.333",".683","","326","0.1","1.2","0.2","0.2","1","0","0","0","1","0","0","0","1.833","0.00","33.3%","0.0%","66.7%","0.0%","50.0%","0.0%","41.7%","75.0%","55.0%","60.0%","100.0%","81.8%","40.0%","10.0%","","15.0%","","","","","","","3420"
