"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Enny Romero","- - -","8","1","0","1","0","0","0.0%","0.0%","1.000","1.000","1.000","1.000","2.000","1.247",".888","720","0.0","0.8","0.1","0.1","1","0","1","0","0","0","0","0","3.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","33.3%","","100.0%","100.0%","66.7%","0.0%","100.0%","33.3%",".927","100.7","12.4","0.0%","100.7","1.115","4001"
"Vidal Nuno","TBR","17","2","0","0","1","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".880",".382","487","0.0","0.9","0.2","0.1","2","2","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","66.7%","","66.7%","100.0%","","100.0%","","0.0%","50.0%","0.0%",".344","80.8","16.5","0.0%","102.1",".565","9674"
"Kyle Gibson","MIN","32","2","0","2","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".880",".431","482","0.0","0.9","0.2","0.1","2","2","0","0","0","0","0","0","2.000","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","50.0%","50.0%","50.0%","100.0%","100.0%","100.0%","50.0%","0.0%","0.0%","25.0%",".477","92.2","5.2","0.0%","93.2",".525","10123"
"Derek Law","SFG","7","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".880",".479","476","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","100.0%","","100.0%","100.0%","100.0%","0.0%","100.0%","0.0%",".527","96.2","4.1","0.0%","96.2",".584","13133"
"Chad Sobotka","ATL","14","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".880",".401","471","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","50.0%","","100.0%","100.0%","50.0%","0.0%","0.0%","50.0%",".407","93.3","-1.6","0.0%","93.3",".474","17470"
"Kolby Allard","ATL","3","3","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".880",".762","471","0.0","1.4","0.4","0.2","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","60.0%","42.9%","","100.0%","100.0%","71.4%","0.0%","0.0%","14.3%",".847","82.1","13.7","0.0%","82.1",".907","18694"
"Randy Rosario","CHC","44","2","0","1","1","0","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".785",".522","411","0.0","0.8","0.2","0.1","1","1","0","0","1","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","14.3%","","100.0%","100.0%","28.6%","0.0%","100.0%","28.6%",".393","104.0","-3.5","0.0%","104.0",".397","14508"
"Dan Jennings","MIL","72","3","0","1","0","0","0.0%","33.3%",".333","1.000",".667",".667","1.000",".709",".329","359","0.0","0.9","0.4","0.1","2","1","1","0","0","1","0","0","1.667","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","16.7%","85.7%","53.8%","0.0%","100.0%","85.7%","53.8%","7.7%","0.0%","23.1%",".338","87.9","5.1","0.0%","93.5",".398","8073"
"A.J. Cole","- - -","32","4","1","1","1","0","0.0%","25.0%","1.000",".000",".333",".333","1.333",".677",".323","336","0.0","1.2","0.5","0.2","1","0","0","0","0","1","0","0","1.667","0.00","0.0%","0.0%","100.0%","0.0%","50.0%","0.0%","25.0%","62.5%","50.0%","100.0%","100.0%","100.0%","66.7%","0.0%","33.3%","16.7%",".249","80.8","35.0","0.0%","105.2",".526","11467"
"Ryan Lavarnway","PIT","6","6","0","1","1","0","0.0%","16.7%",".167",".800",".667",".667",".833",".648",".481","319","0.0","1.6","0.0","0.2","4","3","1","0","0","1","0","0","1.500","1.00","80.0%","20.0%","0.0%","0.0%","0.0%","0.0%","10.0%","85.7%","41.2%","0.0%","100.0%","85.7%","41.2%","5.9%","60.0%","29.4%",".487","95.8","10.6","0.0%","106.1",".623","8879"
"Jesse Biddle","ATL","60","2","0","0","1","0","0.0%","0.0%",".500",".500",".500",".500","1.000",".624",".339","300","0.0","0.5","0.2","0.1","1","0","1","0","0","0","0","0","1.500","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","75.0%","0.0%","60.0%","66.7%","","66.7%","20.0%","20.0%","0.0%","60.0%",".347","85.6","4.5","0.0%","93.2",".459","11437"
"Jorge Lopez","- - -","17","2","0","1","2","0","0.0%","50.0%",".500","1.000",".500",".500","1.000",".624",".284","302","0.0","0.5","0.2","0.1","1","0","1","0","0","1","0","0","1.500","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","66.7%","66.7%","","25.0%","25.0%","100.0%","50.0%","100.0%","83.3%",".254","100.6","16.6","0.0%","100.6",".422","14527"
"Dennis Santana","LAD","2","2","0","0","2","0","0.0%","50.0%",".500","1.000",".500",".500","1.000",".624",".124","306","0.0","0.5","0.2","0.1","1","0","1","0","0","1","0","0","1.500","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","100.0%","100.0%","0.0%","100.0%","25.0%","25.0%","75.0%","0.0%","75.0%",".097","93.2","23.7","0.0%","93.2",".192","17878"
