"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Ryder Jones","SFG","5","8","2","2","3","0","0.0%","62.5%",".750","1.000",".375",".375","1.125",".618",".523","301","0.0","2.0","0.0","0.2","3","1","0","0","0","5","0","0","1.500","0.00","66.7%","0.0%","33.3%","0.0%","200.0%","0.0%","45.0%","75.0%","56.3%","44.4%","88.9%","66.7%","37.5%","18.8%","100.0%","31.3%",".343","109.1","18.3","66.7%","112.1",".924","15982"
"Dustin Garneau","CHW","1","3","0","0","1","0","33.3%","0.0%",".000",".500",".500",".667",".500",".523",".538","241","0.0","0.5","0.0","0.1","1","1","0","0","1","0","0","0","1.167","0.00","50.0%","0.0%","50.0%","100.0%","0.0%","0.0%","12.5%","87.5%","50.0%","100.0%","100.0%","100.0%","50.0%","0.0%","0.0%","6.3%",".486","80.0","42.3","0.0%","80.1",".558","9433"
"Ryan Schimpf","LAA","5","7","1","2","2","0","28.6%","42.9%",".600",".000",".200",".429",".800",".487",".389","216","0.1","1.1","0.1","0.1","1","0","0","0","2","3","0","0","1.229","1.00","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","22.7%","38.5%","28.6%","40.0%","60.0%","50.0%","37.1%","14.3%","50.0%","37.1%",".172","70.2","-5.2","50.0%","99.2",".462","9953"
"Rick Porcello","BOS","33","7","0","1","3","0","0.0%","42.9%",".286",".750",".429",".429",".714",".482",".214","208","0.0","0.9","0.8","0.2","3","1","2","0","0","3","0","0","1.143","0.50","25.0%","25.0%","50.0%","0.0%","0.0%","0.0%","75.0%","60.0%","63.2%","0.0%","66.7%","50.0%","78.9%","31.6%","25.0%","57.9%",".216","91.9","13.6","0.0%","97.4",".289","2717"
"Blake Snell","TBR","31","3","0","0","0","0","33.3%","33.3%",".000",".000",".000",".667",".000",".470",".470","207","0.0","0.4","0.4","0.1","0","0","0","0","1","1","1","0",".667","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","28.6%","13.3%","","50.0%","50.0%","46.7%","6.7%","","40.0%","","","","","","","13543"
"Mark Zagunis","CHC","5","6","0","0","1","0","16.7%","16.7%",".200",".500",".400",".500",".600",".469",".337","200","0.0","0.7","0.1","0.1","2","1","1","0","1","1","0","0","1.100","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","18.8%","50.0%","32.1%","0.0%","100.0%","66.7%","42.9%","10.7%","0.0%","35.7%",".259","86.0","29.8","0.0%","89.5",".352","16565"
"Mookie Betts","BOS","136","614","32","129","80","30","13.2%","14.8%",".294",".368",".346",".438",".640",".449",".431","185","6.9","69.3","11.4","10.5","180","96","47","5","81","91","8","6","1.078","0.75","21.2%","33.9%","44.9%","9.2%","16.4%","9.5%","19.8%","57.0%","35.6%","70.6%","93.0%","85.9%","42.6%","5.0%","50.0%","27.0%",".309","92.3","18.5","13.1%","110.6",".606","13611"
"Myles Straw","HOU","9","10","1","4","1","2","10.0%","0.0%",".333",".250",".333",".400",".667",".448",".396","193","0.4","1.5","0.0","0.2","3","2","0","0","1","0","0","0","1.067","1.00","11.1%","44.4%","44.4%","0.0%","25.0%","0.0%","11.1%","59.1%","37.5%","100.0%","100.0%","100.0%","55.0%","0.0%","22.2%","22.5%",".333","84.2","10.2","11.1%","98.0",".513","17620"
"Luke Voit","- - -","47","161","15","30","36","0","10.6%","26.7%",".350",".365",".322",".398",".671",".447",".437","188","0.4","17.4","-7.0","1.6","46","26","5","0","17","43","1","0","1.069","0.95","28.0%","35.0%","37.0%","5.4%","40.5%","8.6%","27.5%","78.7%","48.7%","56.0%","75.2%","68.9%","41.5%","15.2%","54.0%","27.5%",".296","93.0","15.3","20.0%","112.3",".674","14811"
"Mike Trout","LAA","140","608","39","101","79","24","20.1%","20.4%",".316",".346",".312",".460",".628",".447",".434","188","5.0","69.2","2.6","9.5","147","80","24","4","122","124","10","2","1.088","0.69","23.4%","31.3%","45.3%","9.4%","24.5%","10.0%","21.8%","59.1%","37.6%","69.0%","91.7%","84.1%","42.4%","6.0%","46.0%","26.1%",".294","91.2","18.6","15.3%","118.0",".602","10155"
"Ian Kennedy","KCR","22","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".378","181","0.0","0.2","0.2","0.1","1","1","0","0","0","0","0","0","1.000","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","25.0%","57.1%","45.5%","100.0%","75.0%","80.0%","63.6%","9.1%","50.0%","36.4%",".413","81.9","10.0","0.0%","97.2",".447","6986"
"Jerry Blevins","NYM","64","2","0","0","1","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".000","184","0.0","0.2","0.2","0.1","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","40.0%","50.0%","42.9%","100.0%","100.0%","100.0%","28.6%","0.0%","0.0%","28.6%","","","","0.0%","","","7841"
"Chris Rusin","COL","49","5","0","0","0","0","0.0%","20.0%",".000",".667",".500",".500",".500",".440",".097","166","0.0","0.4","0.6","0.1","2","2","0","0","0","1","0","0","1.000","3.00","0.0%","100.0%","0.0%","0.0%","0.0%","33.3%","33.3%","44.4%","40.0%","50.0%","100.0%","83.3%","60.0%","6.7%","25.0%","33.3%",".106","85.5","-8.9","0.0%","96.9",".117","9895"
"Christian Bergman","SEA","3","2","0","0","1","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".202","187","0.0","0.2","0.2","0.1","1","1","0","0","0","0","0","0","1.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","33.3%","50.0%","40.0%","100.0%","100.0%","100.0%","40.0%","0.0%","0.0%","20.0%",".224","85.2","1.6","0.0%","85.2",".234","10925"
"Roenis Elias","SEA","23","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".424","187","0.0","0.2","0.2","0.1","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","50.0%","50.0%","0.0%","100.0%","66.7%","66.7%","16.7%","0.0%","50.0%",".447","74.0","17.4","0.0%","74.0",".513","12673"
"Zach Vincej","SEA","1","4","0","0","1","0","0.0%","25.0%",".000",".667",".500",".500",".500",".440",".411","187","0.0","0.4","-1.4","-0.1","2","2","0","0","0","1","0","0","1.000","0.00","66.7%","0.0%","33.3%","0.0%","0.0%","0.0%","50.0%","50.0%","50.0%","75.0%","100.0%","83.3%","33.3%","8.3%","0.0%","41.7%",".457","74.7","22.5","0.0%","85.7",".492","13269"
"Josh Hader","MIL","55","2","0","1","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".422","179","0.0","0.2","0.2","0.1","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","75.0%","60.0%","","33.3%","33.3%","80.0%","40.0%","0.0%","80.0%",".447","94.9","11.6","0.0%","94.9",".520","14212"
"Michael Lorenzen","CIN","55","34","4","5","10","0","5.9%","26.5%",".419",".278",".290",".333",".710",".432",".299","172","0.0","3.0","0.0","0.4","9","4","1","0","2","9","0","0","1.043","2.40","19.0%","57.1%","23.8%","0.0%","80.0%","8.3%","39.0%","74.5%","51.9%","46.9%","88.6%","68.7%","36.4%","16.3%","52.2%","27.1%",".232","93.3","2.9","17.4%","116.5",".403","14843"
"J.D. Martinez","BOS","150","649","43","111","130","6","10.6%","22.5%",".299",".375",".330",".402",".629",".427",".418","170","-4.1","50.5","-16.8","5.7","188","106","37","2","69","146","4","1","1.031","1.28","22.6%","43.5%","34.0%","2.7%","29.5%","8.0%","33.2%","76.6%","50.4%","58.9%","83.4%","73.7%","39.6%","13.3%","52.3%","25.4%",".307","93.0","10.8","15.1%","116.7",".619","6184"
"Christian Yelich","MIL","147","651","36","118","110","22","10.4%","20.7%",".272",".373",".326",".402",".598",".422",".416","167","5.8","59.1","-4.9","7.7","187","110","34","7","68","135","7","4","1.000","2.20","24.7%","51.8%","23.5%","4.9%","35.0%","6.6%","27.7%","64.6%","44.0%","62.2%","88.1%","79.0%","44.2%","9.2%","50.8%","26.6%",".318","92.6","5.0","12.2%","113.6",".570","11477"
"Mike Minor","TEX","28","3","0","0","0","0","0.0%","33.3%",".333",".500",".333",".333",".667",".416",".414","158","0.0","0.2","0.4","0.1","1","0","1","0","0","1","0","0","1.000","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","33.3%","37.5%","36.4%","0.0%","100.0%","75.0%","72.7%","9.1%","50.0%","54.5%",".295","99.5","26.9","50.0%","105.1",".699","10021"
"Sam Gaviglio","TOR","26","3","0","0","0","0","0.0%","33.3%",".333",".500",".333",".333",".667",".416",".396","166","0.0","0.2","0.4","0.1","1","0","1","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","14.3%","42.9%","28.6%","100.0%","100.0%","100.0%","50.0%","0.0%","50.0%","42.9%",".409","85.1","14.4","0.0%","100.8",".514","12778"
"Max Muncy","LAD","137","481","35","75","79","3","16.4%","27.2%",".319",".299",".263",".391",".582",".407",".397","162","3.1","39.4","-9.4","4.6","104","50","17","2","79","131","5","0",".973","0.76","20.8%","34.3%","44.9%","5.9%","29.4%","5.5%","21.5%","57.8%","37.0%","58.0%","80.4%","72.9%","42.6%","10.0%","45.9%","31.2%",".257","90.3","18.4","16.2%","110.6",".542","13301"
"Brandon Woodruff","MIL","19","10","1","2","1","0","10.0%","10.0%",".375",".167",".250",".333",".625",".400",".422","152","0.0","0.6","1.2","0.2","2","1","0","0","1","1","0","0",".958","1.50","16.7%","50.0%","33.3%","0.0%","50.0%","0.0%","31.3%","71.4%","50.0%","60.0%","100.0%","86.7%","46.7%","6.7%","37.5%","20.0%",".291","90.3","-1.5","12.5%","105.1",".610","16162"
"Ryan O'Hearn","KCR","44","170","12","23","30","0","11.8%","26.5%",".336",".293",".262",".353",".597",".398",".343","153","-1.7","9.0","-4.4","1.1","39","15","10","2","20","45","1","0",".950","0.75","19.2%","34.6%","46.2%","8.3%","25.0%","0.0%","23.2%","67.3%","41.8%","47.9%","81.3%","70.5%","42.1%","12.3%","44.2%","29.8%",".234","91.4","17.7","12.5%","108.3",".462","16442"
"Matt Skole","CHW","4","13","1","2","1","0","15.4%","23.1%",".273",".286",".273",".385",".545",".398",".421","156","0.0","0.9","-0.3","0.1","3","2","0","0","2","3","0","0",".930","0.25","37.5%","12.5%","50.0%","50.0%","25.0%","0.0%","21.4%","58.3%","38.5%","83.3%","64.3%","70.0%","46.2%","11.5%","25.0%","32.7%",".283","86.7","32.2","12.5%","110.1",".599","12119"
"Justin Turner","LAD","103","426","14","62","52","2","11.0%","12.7%",".205",".334",".312",".406",".518",".396",".381","154","0.0","28.2","0.0","4.3","114","68","31","1","47","54","12","1",".924","0.66","26.2%","29.4%","44.4%","7.2%","10.1%","6.5%","25.8%","65.9%","43.3%","81.7%","92.0%","88.5%","43.8%","5.0%","36.7%","23.8%",".292","89.1","18.3","6.7%","106.5",".486","5235"
"Alex Bregman","HOU","157","705","31","105","103","10","13.6%","12.1%",".246",".289",".286",".394",".532",".396",".369","157","3.4","51.3","2.9","8.0","170","87","51","1","96","85","12","4",".926","0.80","21.9%","34.6%","43.4%","12.6%","14.0%","7.9%","20.0%","60.5%","37.1%","79.1%","92.8%","88.5%","42.3%","4.3%","39.8%","25.2%",".267","89.4","16.8","7.4%","107.6",".464","17678"
"Rowdy Tellez","TOR","23","73","4","10","14","0","2.7%","28.8%",".300",".391",".314",".329",".614",".392",".309","150","0.4","4.7","-3.4","0.4","22","9","9","0","2","21","0","0",".943","1.06","26.0%","38.0%","36.0%","11.1%","22.2%","21.1%","37.2%","64.3%","48.5%","51.7%","86.1%","70.8%","41.8%","14.2%","40.0%","32.8%",".238","88.7","10.6","10.0%","109.3",".448","15679"
"Juan Soto","WSN","116","494","22","77","70","5","16.0%","20.0%",".225",".338",".292",".406",".517",".392",".372","146","2.0","29.5","-8.5","3.7","121","73","25","1","79","99","0","2",".923","1.87","17.5%","53.7%","28.8%","7.9%","24.7%","4.2%","21.9%","60.7%","38.8%","68.1%","85.7%","80.1%","43.6%","7.7%","42.1%","27.4%",".262","90.5","6.2","10.1%","113.7",".483","20123"
"Jose Ramirez","CLE","157","698","39","110","105","34","15.2%","11.5%",".282",".252",".270",".387",".552",".391",".365","147","12.0","51.5","3.3","8.1","156","75","38","4","106","80","8","6",".939","0.73","20.7%","33.4%","45.9%","13.0%","16.9%","7.7%","22.3%","62.3%","38.5%","79.4%","92.1%","87.7%","40.4%","4.7%","34.5%","23.2%",".261","89.0","19.0","6.9%","110.2",".470","13510"
"Aaron Judge","NYY","112","498","27","77","67","6","15.3%","30.5%",".249",".368",".278",".392",".528",".391",".393","150","1.4","31.1","3.8","5.3","115","66","22","0","76","152","4","3",".919","1.19","23.3%","41.7%","35.0%","5.4%","29.0%","9.0%","25.1%","63.8%","40.3%","44.1%","79.1%","65.9%","39.3%","13.7%","54.1%","31.6%",".273","94.7","12.4","15.4%","119.9",".527","15640"
"Nolan Arenado","COL","156","673","38","104","110","2","10.8%","18.1%",".264",".314",".297",".374",".561",".391",".354","133","0.0","26.9","12.7","6.2","175","97","38","2","73","122","3","2",".935","1.03","21.3%","39.9%","38.8%","12.0%","20.7%","4.2%","33.2%","73.3%","49.8%","66.2%","84.4%","77.3%","41.5%","11.3%","40.2%","24.5%",".267","89.8","15.3","7.2%","109.2",".480","9777"
"Paul Goldschmidt","ARI","158","690","33","95","83","7","13.0%","25.1%",".243",".359",".290",".389",".533",".390",".384","145","2.5","40.4","-12.4","5.1","172","99","35","5","90","173","6","4",".922","1.06","25.0%","38.6%","36.4%","11.8%","21.6%","7.4%","28.8%","62.4%","42.3%","66.7%","82.2%","75.9%","40.4%","10.2%","43.7%","29.6%",".271","90.8","15.6","13.1%","112.9",".533","9218"
"Shohei Ohtani","LAA","114","367","22","59","61","10","10.1%","27.8%",".279",".350",".285",".361",".564",".390",".384","149","1.1","22.8","-8.9","2.7","93","48","21","2","37","102","2","4",".925","1.32","23.6%","43.6%","32.9%","5.4%","29.7%","9.2%","32.3%","65.3%","45.7%","59.1%","80.6%","71.6%","40.6%","13.0%","50.0%","29.1%",".276","92.9","12.3","14.2%","113.9",".547","19755"
"Ronald Acuna Jr.","ATL","111","487","26","78","64","16","9.2%","25.3%",".259",".352",".293",".366",".552",".388",".375","142","2.8","28.0","-3.2","4.1","127","71","26","4","45","123","6","5",".917","1.07","18.3%","42.3%","39.4%","8.9%","21.1%","8.3%","27.5%","72.8%","46.0%","59.8%","82.7%","74.6%","40.9%","11.7%","46.6%","26.0%",".271","90.9","13.1","13.1%","113.9",".535","18401"
"Shane Bieber","CLE","20","5","0","0","0","0","20.0%","40.0%",".250",".500",".250",".400",".500",".387",".298","144","0.0","0.3","0.6","0.1","1","0","1","0","1","2","0","0",".900","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","11.1%","70.0%","42.1%","0.0%","71.4%","62.5%","52.6%","15.8%","0.0%","31.6%",".210","92.6","4.5","0.0%","94.1",".266","19427"
"Brandon Nimmo","NYM","140","535","17","77","47","9","15.0%","26.2%",".219",".351",".263",".404",".483",".385",".353","148","1.9","33.2","-3.0","4.8","114","61","28","8","80","140","22","6",".886","1.35","21.6%","45.0%","33.3%","12.4%","17.5%","6.9%","19.7%","63.6%","39.2%","57.5%","82.7%","75.6%","44.5%","9.5%","42.0%","29.4%",".241","89.9","10.7","5.5%","110.9",".398","12927"
"Reese McGuire","TOR","14","33","2","5","4","1","6.1%","27.3%",".290",".350",".290",".333",".581",".385",".312","145","0.0","1.8","0.8","0.4","9","4","3","0","2","9","0","0",".914","1.00","27.3%","36.4%","36.4%","0.0%","25.0%","12.5%","32.4%","69.2%","48.0%","52.2%","80.6%","69.5%","42.3%","14.6%","22.7%","30.9%",".259","83.3","12.5","9.1%","102.9",".411","15674"
"Trevor Story","COL","157","656","37","88","108","27","7.2%","25.6%",".276",".345",".291",".348",".567",".384",".358","128","1.8","24.4","0.4","4.6","174","89","42","6","47","168","7","6",".914","0.80","22.7%","34.3%","43.1%","10.2%","19.9%","14.2%","32.2%","74.6%","50.3%","60.3%","87.2%","77.4%","42.7%","11.4%","45.6%","24.6%",".266","91.0","16.0","12.4%","112.5",".513","12564"
"Anthony Rendon","WSN","136","597","24","88","92","2","9.2%","13.7%",".227",".323",".308",".374",".535",".383",".384","140","5.1","34.0","5.3","5.9","163","93","44","2","55","82","5","1",".909","0.75","23.8%","32.6%","43.6%","10.6%","12.1%","4.7%","28.9%","70.1%","47.7%","78.5%","92.2%","87.7%","45.6%","5.9%","44.6%","23.5%",".302","90.7","17.9","9.5%","109.9",".538","12861"
"Steve Pearce","- - -","76","251","11","35","42","0","11.6%","16.3%",".228",".303",".284",".378",".512",".382",".393","140","1.2","13.3","-5.5","1.7","61","35","14","1","29","41","5","0",".890","1.22","20.5%","43.8%","35.8%","11.1%","17.5%","9.1%","24.3%","69.5%","43.0%","57.0%","87.7%","77.6%","41.4%","9.6%","39.2%","25.6%",".283","89.4","11.9","11.4%","109.0",".527","9957"
"Patrick Wisdom","STL","32","58","4","11","10","2","10.3%","32.8%",".260",".333",".260",".362",".520",".379",".344","142","0.9","3.8","-2.3","0.3","13","8","1","0","6","19","2","1",".882","0.92","25.8%","35.5%","38.7%","41.7%","33.3%","18.2%","29.9%","63.7%","44.5%","60.0%","78.5%","71.4%","43.2%","12.7%","41.9%","31.4%",".232","90.5","17.0","12.9%","112.2",".446","13602"
"Willians Astudillo","MIN","30","97","3","9","21","0","2.1%","3.1%",".161",".341",".355",".371",".516",".379",".352","141","0.1","4.8","0.4","0.9","33","25","4","1","2","3","1","0",".887","1.12","23.1%","40.7%","36.3%","3.0%","9.1%","5.4%","42.8%","76.5%","56.2%","85.7%","96.7%","91.7%","39.8%","4.7%","29.7%","17.1%",".320","87.3","12.1","4.4%","107.4",".476","15608"
"Freddie Freeman","ATL","162","707","23","94","98","10","10.7%","18.7%",".196",".358",".309",".388",".505",".378",".388","136","1.3","32.3","-7.5","4.8","191","120","44","4","76","132","7","3",".892","1.16","32.3%","36.4%","31.3%","1.9%","14.9%","5.0%","34.5%","85.0%","55.6%","66.8%","84.0%","77.8%","41.7%","12.4%","39.8%","20.2%",".298","89.1","14.5","9.1%","109.6",".533","5361"
"Matt Holliday","COL","25","65","2","3","3","0","18.5%","27.7%",".151",".394",".283",".415",".434",".377",".366","124","0.4","2.3","-3.3","0.1","15","11","2","0","12","18","0","0",".849","1.17","25.7%","40.0%","34.3%","0.0%","16.7%","0.0%","29.6%","73.9%","47.6%","52.1%","82.9%","71.5%","40.7%","13.6%","48.6%","26.0%",".256","90.9","12.8","5.7%","110.2",".430","1873"
"Tyler White","HOU","66","237","12","27","42","0","10.1%","20.7%",".257",".307",".276",".354",".533",".377",".321","144","0.1","12.5","-4.5","1.7","58","31","12","3","24","49","2","1",".888","0.91","18.5%","38.9%","42.6%","14.5%","17.4%","7.9%","26.1%","62.8%","41.3%","72.0%","89.3%","82.9%","41.3%","7.1%","36.4%","26.9%",".240","89.0","17.0","9.3%","108.2",".409","15564"
"Manny Machado","- - -","162","709","37","84","107","14","9.9%","14.7%",".241",".304",".297",".367",".538",".377",".369","141","1.2","35.9","9.4","7.0","188","113","35","3","70","104","2","2",".905","0.95","17.8%","40.0%","42.2%","11.6%","16.4%","4.2%","32.2%","73.5%","48.8%","65.8%","89.0%","79.8%","40.1%","9.8%","48.2%","23.2%",".284","91.6","14.4","10.1%","114.8",".512","11493"
"Eugenio Suarez","CIN","143","606","34","79","104","1","10.6%","23.4%",".243",".322",".283",".366",".526",".376",".373","135","-4.1","21.5","1.8","4.3","149","91","22","2","64","142","9","1",".892","1.03","24.6%","38.4%","37.1%","2.8%","23.4%","6.0%","25.9%","70.0%","44.6%","56.6%","87.4%","77.1%","42.4%","10.2%","45.5%","26.6%",".275","91.2","14.8","9.7%","112.8",".515","12552"
"Bryce Harper","WSN","159","695","34","103","100","13","18.7%","24.3%",".247",".289",".249",".393",".496",".376",".391","135","0.4","30.0","-21.7","3.1","137","69","34","0","130","169","6","3",".889","1.05","22.2%","39.8%","38.0%","3.4%","23.1%","4.5%","26.1%","75.4%","45.4%","55.4%","79.6%","71.1%","39.1%","13.1%","45.1%","25.0%",".263","91.0","14.4","10.0%","115.1",".518","11579"
"Matt Carpenter","STL","156","677","36","111","81","4","15.1%","23.3%",".266",".291",".257",".374",".523",".375",".391","140","1.3","34.0","-10.0","4.6","145","67","42","0","102","158","6","1",".897","0.56","26.7%","26.4%","46.9%","2.1%","19.1%","5.7%","21.0%","57.7%","37.0%","56.5%","87.1%","77.3%","43.7%","8.4%","44.5%","29.6%",".267","90.7","21.6","12.7%","109.4",".542","8090"
"Jesus Aguilar","MIL","149","566","35","80","108","0","10.2%","25.3%",".264",".309",".274",".352",".539",".374",".356","135","-3.6","20.5","-7.6","3.1","135","75","25","0","58","143","6","0",".890","0.86","23.7%","35.4%","40.9%","6.1%","23.8%","0.8%","35.6%","60.1%","45.5%","61.4%","82.4%","72.6%","40.4%","12.5%","42.6%","30.7%",".253","89.8","16.2","10.9%","110.0",".488","11342"
"D.J. Stewart","BAL","17","47","3","8","10","2","8.5%","25.5%",".300",".269",".250",".340",".550",".373",".278","138","0.6","2.7","1.2","0.6","10","4","3","0","4","12","2","1",".890","0.67","13.8%","34.5%","51.7%","0.0%","20.0%","10.0%","31.0%","74.0%","48.4%","57.1%","86.0%","75.0%","40.5%","12.1%","31.0%","26.3%",".172","85.1","16.9","6.9%","105.9",".330","17766"
