"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Tommy Hunter","NYM","4","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".879",".663","468","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","100.0%","","100.0%","100.0%","100.0%","0.0%","100.0%","0.0%",".711","99.7","8.8","0.0%","99.7",".813","1157"
"Daniel Bard","COL","67","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".879",".803","448","0.0","0.4","0.1","0.1","1","1","0","0","0","0","0","0","2.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","","50.0%","100.0%","","100.0%","","0.0%","100.0%","0.0%",".849","99.9","10.7","0.0%","99.9","1.008","7115"
"Connor Overton","- - -","9","1","0","1","2","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".879",".122","462","0.0","0.5","0.1","0.1","1","1","0","0","0","0","0","0","2.000","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","50.0%","0.0%","33.3%","100.0%","","100.0%","33.3%","0.0%","0.0%","66.7%",".131","66.8","52.2","0.0%","66.8",".161","18376"
"Jose Quintana","- - -","29","2","0","0","0","0","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".785",".411","403","0.0","0.8","0.2","0.1","1","1","0","0","1","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","20.0%","66.7%","45.5%","100.0%","100.0%","100.0%","54.5%","0.0%","0.0%","18.2%",".145","76.2","3.9","0.0%","76.2",".161","11423"
"Josh Lowe","TBR","2","2","0","0","0","1","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".785",".443","422","0.2","1.0","0.0","0.1","1","1","0","0","1","0","0","0","2.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","14.3%","100.0%","45.5%","100.0%","50.0%","60.0%","36.4%","18.2%","0.0%","18.2%",".171","43.3","-62.7","0.0%","43.3",".175","19953"
"Sean Reid-Foley","NYM","12","2","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","347","0.0","0.6","0.2","0.1","0","0","0","0","2","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","20.0%","0.0%","","20.0%","","","","","","","17034"
"Austin Davis","- - -","29","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","348","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","","","","","0.0%","","0.0%","","","","","","","17117"
"Jake Brentz","KCR","72","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","351","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","75.0%","37.5%","","100.0%","100.0%","50.0%","0.0%","","12.5%","","","","","","","17783"
"Trevor Richards","- - -","53","1","0","1","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","341","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","33.3%","0.0%","","33.3%","","","","","","","19309"
"Mario Feliciano","MIL","1","1","0","1","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","341","0.1","0.4","0.0","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%","100.0%","42.9%","100.0%","50.0%","66.7%","28.6%","14.3%","","14.3%","","","","","","","20263"
