"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","SO","HBP","CS","OPS","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HardHit%","CSW%","xBA","EV","LA","Barrel%","maxEV","xSLG","playerid"
"Justin Bruihl","LAD","21","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","343","0.0","0.3","0.1","0.0","0","0","0","0","1","0","0","0","1.000","0.00","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","","","","","0.0%","","20.0%","","","","","","","23779"
"Daniel Camarena","SDP","6","3","1","1","4","0","0.0%","66.7%","1.000",".000",".333",".333","1.333",".669",".516","330","0.0","0.9","0.4","0.1","1","0","0","0","0","2","0","0","1.667","0.00","0.0%","0.0%","100.0%","0.0%","100.0%","0.0%","33.3%","50.0%","40.0%","66.7%","33.3%","50.0%","40.0%","20.0%","100.0%","40.0%",".300","107.2","22.5","100.0%","107.2",".968","14467"
"Jakson Reetz","WSN","2","2","0","1","0","0","0.0%","0.0%",".500",".500",".500",".500","1.000",".621",".383","293","0.0","0.5","0.0","0.1","1","0","1","0","0","0","0","0","1.500","0.00","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","100.0%","50.0%","60.0%","100.0%","100.0%","100.0%","80.0%","0.0%","50.0%","40.0%",".398","96.6","22.2","0.0%","104.8",".491","17837"
"Garrett Cleavinger","LAD","22","3","0","0","0","0","0.0%","33.3%",".500","1.000",".500",".500","1.000",".621",".410","297","0.0","0.8","0.4","0.1","1","0","1","0","0","1","0","0","1.500","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","42.9%","33.3%","","100.0%","100.0%","77.8%","0.0%","0.0%","44.4%",".433","91.4","15.7","0.0%","91.4",".507","17897"
"Ali Sanchez","STL","2","4","0","0","0","0","0.0%","0.0%",".500",".500",".500",".500","1.000",".621",".510","298","-1.2","-0.2","0.1","0.0","2","0","2","0","0","0","0","0","1.500","1.00","50.0%","25.0%","25.0%","0.0%","0.0%","0.0%","50.0%","71.4%","66.7%","100.0%","100.0%","100.0%","77.8%","0.0%","75.0%","22.2%",".466","91.2","-7.3","0.0%","104.5",".741","18551"
"Seth Beer","ARI","5","10","1","4","3","0","10.0%","30.0%",".444",".600",".444",".500",".889",".570",".471","260","-0.1","1.9","-1.0","0.1","4","2","1","0","1","3","0","0","1.389","0.00","50.0%","0.0%","50.0%","0.0%","33.3%","0.0%","42.9%","80.0%","58.3%","66.7%","91.7%","81.0%","41.7%","11.1%","50.0%","19.4%",".437","88.5","22.3","0.0%","102.5",".610","20493"
"Humberto Castellanos","ARI","14","7","1","1","5","0","0.0%","14.3%",".500",".400",".500",".429","1.000",".538",".313","239","0.0","1.2","0.8","0.2","3","2","0","0","0","1","0","0","1.429","1.50","16.7%","50.0%","33.3%","0.0%","50.0%","0.0%","66.7%","66.7%","66.7%","50.0%","100.0%","87.5%","75.0%","8.3%","50.0%","41.7%",".272","81.9","6.5","16.7%","99.2",".423","21183"
"Austin Voth","WSN","49","3","0","1","0","0","0.0%","33.3%",".000","1.000",".500",".667",".500",".534",".284","237","0.0","0.5","0.4","0.1","1","1","0","0","0","1","1","0","1.167","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","16.7%","50.0%","35.7%","100.0%","100.0%","100.0%","57.1%","0.0%","0.0%","28.6%",".071","72.6","3.1","0.0%","72.6",".075","15047"
"Sean Manaea","OAK","32","5","0","0","0","0","0.0%","20.0%",".250",".667",".500",".500",".750",".530",".196","250","0.0","0.9","0.6","0.2","2","1","1","0","0","1","0","0","1.250","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","100.0%","20.0%","50.0%","33.3%","100.0%","100.0%","100.0%","44.4%","0.0%","25.0%","33.3%",".184","90.9","-21.3","0.0%","96.1",".253","15873"
"Trayce Thompson","CHC","15","35","4","6","9","2","20.0%","31.4%",".464",".231",".250",".400",".714",".453",".492","186","0.2","4.0","-1.3","0.4","7","2","1","0","7","11","0","0","1.114","0.75","17.6%","35.3%","47.1%","0.0%","50.0%","0.0%","21.2%","63.9%","37.5%","61.9%","79.5%","73.3%","38.1%","10.0%","58.8%","27.5%",".298","92.3","16.9","35.3%","109.7",".777","9952"
"Tyler Nevin","BAL","6","18","1","3","3","0","22.2%","27.8%",".357",".375",".286",".444",".643",".452",".335","190","0.2","2.2","-2.2","0.1","4","1","2","0","4","5","0","0","1.087","0.29","0.0%","22.2%","77.8%","0.0%","14.3%","0.0%","25.5%","57.1%","36.1%","64.3%","87.5%","76.7%","33.7%","8.4%","33.3%","28.9%",".149","93.5","33.8","11.1%","108.5",".424","17893"
"Mike Trout","LAA","36","146","8","23","18","2","18.5%","28.1%",".291",".456",".333",".466",".624",".451",".425","189","1.5","17.5","-0.4","2.2","39","22","8","1","27","41","2","0","1.090","1.23","23.7%","42.1%","34.2%","7.7%","30.8%","9.4%","22.1%","63.4%","39.5%","61.5%","79.1%","73.4%","42.1%","10.5%","52.6%","27.9%",".302","91.9","12.9","18.4%","115.5",".575","10155"
"Justus Sheffield","SEA","21","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".449","188","0.0","0.2","0.2","0.1","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","33.3%","100.0%","60.0%","0.0%","100.0%","66.7%","40.0%","20.0%","100.0%","60.0%",".460","98.0","13.0","0.0%","98.0",".566","17285"
"Jordan Yamamoto","NYM","2","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".421","183","0.0","0.2","0.2","0.1","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","25.0%","33.3%","0.0%","100.0%","50.0%","66.7%","16.7%","100.0%","66.7%",".435","101.8","10.5","0.0%","101.8",".533","17585"
"Triston McKenzie","CLE","25","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".432","183","0.0","0.2","0.2","0.1","1","1","0","0","0","0","0","0","1.000","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","66.7%","33.3%","","100.0%","100.0%","50.0%","0.0%","50.0%","33.3%",".464","95.0","-6.3","0.0%","100.0",".528","18000"
"Cal Quantrill","CLE","40","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".068","183","0.0","0.2","0.2","0.1","1","1","0","0","0","0","0","0","1.000","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","50.0%","14.3%","50.0%","30.8%","100.0%","100.0%","100.0%","46.2%","0.0%","0.0%","30.8%",".070","87.5","-25.0","0.0%","88.5",".076","19312"
"Garrett Whitlock","BOS","46","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".415","178","0.0","0.2","0.2","0.0","1","1","0","0","0","1","0","0","1.000","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","40.0%","40.0%","","50.0%","50.0%","100.0%","20.0%","0.0%","60.0%",".450","80.2","15.7","0.0%","80.2",".497","20191"
"Bailey Ober","MIN","20","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".484","185","0.0","0.2","0.2","0.1","1","1","0","0","0","0","0","0","1.000","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","20.0%","50.0%","33.3%","0.0%","100.0%","66.7%","44.4%","11.1%","0.0%","33.3%",".516","83.7","-14.1","0.0%","94.1",".569","21224"
"Bryce Harper","PHI","141","599","35","101","84","13","16.7%","22.4%",".305",".359",".309",".429",".615",".431",".430","170","-2.5","50.9","-5.5","6.6","151","73","42","1","100","134","5","3","1.044","1.09","21.9%","40.7%","37.3%","6.9%","26.7%","6.3%","29.4%","74.5%","47.2%","54.2%","78.9%","69.5%","39.4%","14.4%","49.2%","26.3%",".301","92.5","13.3","18.1%","116.3",".609","11579"
"Chris Owings","COL","21","50","1","9","5","2","14.0%","30.0%",".302",".481",".326",".420",".628",".431",".318","157","0.5","4.2","-1.0","0.5","14","6","4","3","7","15","0","1","1.048","0.92","17.9%","39.3%","42.9%","8.3%","8.3%","27.3%","27.4%","71.6%","45.9%","45.2%","72.4%","62.9%","41.8%","17.0%","42.9%","34.5%",".216","90.7","13.8","14.3%","107.0",".413","10030"
"Nick Fortes","MIA","14","34","4","6","7","1","8.8%","23.5%",".387",".263",".290",".353",".677",".426",".375","171","0.1","3.1","-0.9","0.3","9","5","0","0","3","8","0","0","1.030","0.54","13.0%","30.4%","56.5%","15.4%","30.8%","0.0%","29.7%","59.3%","42.9%","63.6%","94.3%","82.5%","44.4%","7.5%","52.2%","29.3%",".264","91.3","24.0","21.7%","107.5",".559","21538"
"Estevan Florial","NYY","11","25","1","3","2","1","20.0%","24.0%",".250",".385",".300",".440",".550",".423",".323","173","0.0","2.2","0.4","0.3","6","3","2","0","5","6","0","0",".990","1.17","7.1%","50.0%","42.9%","0.0%","16.7%","28.6%","27.5%","73.2%","44.5%","52.6%","76.7%","67.3%","37.3%","14.5%","64.3%","27.3%",".205","89.3","5.3","7.1%","102.3",".342","19151"
"Juan Soto","WSN","151","654","29","111","95","9","22.2%","14.2%",".221",".332",".313",".465",".534",".420",".429","163","-3.3","49.2","-1.1","7.0","157","106","20","2","145","93","2","7",".999","1.83","18.6%","52.7%","28.7%","6.7%","24.4%","6.0%","15.1%","62.8%","35.0%","62.6%","88.7%","82.1%","41.6%","6.3%","52.4%","26.3%",".305","93.0","5.8","13.3%","116.6",".545","20123"
"Vladimir Guerrero Jr.","TOR","161","698","48","123","111","4","12.3%","15.8%",".290",".313",".311",".401",".601",".419",".417","166","-2.1","54.1","-15.2","6.3","188","110","29","1","86","110","6","1","1.002","1.23","18.8%","44.8%","36.5%","7.7%","26.5%","5.9%","28.3%","76.1%","47.3%","55.8%","84.0%","73.9%","39.7%","12.4%","55.2%","25.0%",".307","95.1","9.4","15.1%","117.4",".590","19611"
"Byron Buxton","MIN","61","254","19","50","32","9","5.1%","24.4%",".340",".344",".306",".358",".647",".419",".407","171","4.4","26.4","6.2","4.1","72","30","23","0","13","62","6","1","1.005","1.05","21.5%","40.1%","38.4%","4.5%","28.8%","10.1%","34.5%","80.0%","53.0%","60.0%","79.7%","72.0%","40.5%","14.8%","53.2%","27.1%",".300","92.5","13.3","17.9%","115.6",".611","14161"
"Oneil Cruz","PIT","2","9","1","2","3","0","0.0%","44.4%",".333",".500",".333",".333",".667",".418",".384","163","0.0","0.7","-0.4","0.1","3","2","0","0","0","4","0","0","1.000","3.00","20.0%","60.0%","20.0%","0.0%","100.0%","0.0%","50.0%","38.5%","45.5%","30.0%","80.0%","46.7%","39.4%","24.2%","80.0%","48.5%",".288","100.5","4.6","40.0%","118.2",".636","21711"
"Luis Gonzalez","CHW","6","11","0","2","0","0","27.3%","18.2%",".250",".333",".250",".455",".500",".414",".339","166","-0.4","0.5","1.5","0.2","2","0","2","0","3","2","0","0",".955","0.67","16.7%","33.3%","50.0%","0.0%","0.0%","0.0%","22.6%","68.4%","40.0%","71.4%","84.6%","80.0%","38.0%","8.0%","50.0%","24.0%",".194","86.9","16.1","0.0%","101.2",".288","20332"
"Jake Faria","ARI","24","3","0","1","0","0","0.0%","33.3%",".333",".500",".333",".333",".667",".414",".225","159","0.0","0.2","0.4","0.1","1","0","1","0","0","1","0","0","1.000","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","16.7%","50.0%","35.7%","0.0%","100.0%","80.0%","57.1%","7.1%","50.0%","50.0%",".249","95.7","-1.7","0.0%","100.8",".268","13699"
"Justin Dunn","SEA","11","3","0","0","1","0","0.0%","66.7%",".333","1.000",".333",".333",".667",".414",".102","171","0.0","0.3","0.4","0.1","1","0","1","0","0","2","0","0","1.000","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","12.5%","20.0%","15.4%","100.0%","0.0%","50.0%","38.5%","7.7%","100.0%","46.2%",".070","95.1","27.3","0.0%","95.1",".184","19268"
"Kyle Wright","ATL","2","3","0","1","0","0","0.0%","33.3%",".333",".500",".333",".333",".667",".414",".272","158","0.0","0.2","0.4","0.1","1","0","1","0","0","1","0","0","1.000","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","16.7%","40.0%","27.3%","0.0%","100.0%","66.7%","45.5%","9.1%","100.0%","45.5%",".295","102.5","-0.4","0.0%","103.5",".320","19665"
"Ronald Acuna Jr.","ATL","82","360","24","72","52","17","13.6%","23.6%",".313",".311",".283",".394",".596",".412",".429","157","3.8","29.8","1.5","4.3","84","40","19","1","49","85","9","6",".990","0.69","23.0%","31.3%","45.6%","8.1%","24.2%","7.4%","23.9%","69.7%","42.8%","61.3%","81.7%","75.0%","41.2%","10.7%","53.9%","25.5%",".295","93.8","18.2","20.3%","117.9",".603","18401"
"Taylor Davis","PIT","2","6","0","0","0","0","16.7%","0.0%",".000",".400",".400",".500",".400",".408",".328","156","-0.1","0.3","0.2","0.1","2","2","0","0","1","0","0","0",".900","1.50","0.0%","60.0%","40.0%","0.0%","0.0%","0.0%","20.0%","85.7%","40.9%","100.0%","83.3%","88.9%","31.8%","4.5%","40.0%","13.6%",".276","94.2","13.5","0.0%","103.4",".316","12782"
"Brandon Belt","SFG","97","381","29","65","59","3","12.6%","27.0%",".323",".309",".274",".378",".597",".406",".374","157","-2.1","25.6","-4.5","3.4","89","44","14","2","48","103","7","2",".975","0.55","22.7%","27.3%","50.0%","5.6%","26.9%","8.5%","23.5%","78.6%","47.2%","65.9%","79.4%","75.6%","43.0%","11.5%","44.8%","23.4%",".243","89.2","23.0","17.0%","109.9",".525","10264"
"Jesse Winker","CIN","110","485","24","77","71","1","10.9%","15.5%",".251",".324",".305",".394",".556",".403",".390","147","-6.5","22.4","-9.3","2.9","129","72","32","1","53","75","9","0",".949","1.26","24.7%","42.0%","33.3%","9.5%","20.7%","4.8%","27.8%","69.7%","44.9%","73.2%","87.5%","82.2%","40.6%","8.0%","46.8%","23.2%",".295","90.6","10.8","11.2%","113.4",".524","13590"
"Frank Schwindel","- - -","64","259","14","44","43","2","6.2%","15.8%",".264",".348",".326",".371",".591",".403",".332","154","-0.9","17.0","-6.4","1.9","79","44","20","1","16","41","1","1",".962","1.04","19.9%","40.8%","39.3%","15.2%","17.7%","9.8%","38.7%","72.0%","52.1%","61.5%","91.3%","78.0%","40.1%","11.4%","39.8%","25.8%",".272","86.9","12.6","8.0%","112.5",".454","15351"
"Fernando Tatis Jr.","SDP","130","546","42","99","97","25","11.4%","28.0%",".328",".324",".282",".364",".611",".403",".407","157","9.3","48.8","5.5","7.3","135","62","31","0","62","153","2","4",".975","1.01","19.8%","40.2%","39.9%","11.5%","32.1%","12.9%","33.3%","80.6%","51.3%","47.8%","80.2%","67.2%","38.1%","16.8%","55.6%","27.0%",".279","93.9","13.8","21.3%","116.6",".617","19709"
"Yasmani Grandal","CHW","93","375","23","60","62","0","23.2%","21.9%",".280",".246",".240",".420",".520",".402",".412","158","-4.7","21.7","1.4","3.6","67","35","9","0","87","82","3","0",".939","1.01","18.9%","40.8%","40.3%","11.1%","28.4%","2.4%","18.7%","51.1%","31.9%","63.2%","84.7%","77.3%","40.7%","7.3%","53.2%","29.7%",".258","93.1","14.2","13.3%","112.0",".506","11368"
"Jose Siri","HOU","21","49","4","10","9","3","2.0%","34.7%",".304",".400",".304",".347",".609",".401",".378","158","0.1","3.6","-1.0","0.4","14","9","0","1","1","17","2","1",".956","0.67","13.8%","34.5%","51.7%","6.7%","26.7%","20.0%","46.7%","76.6%","58.3%","59.6%","72.9%","66.4%","38.7%","19.6%","44.8%","31.2%",".262","89.9","16.5","17.2%","111.4",".595","17452"
"Luis Robert","CHW","68","296","13","42","43","6","4.7%","20.6%",".229",".394",".338",".378",".567",".399",".382","155","1.4","21.5","1.3","3.3","93","57","22","1","14","61","5","1",".946","0.99","26.4%","36.6%","37.0%","7.5%","16.3%","10.1%","44.5%","85.8%","61.5%","56.5%","86.4%","73.6%","41.0%","16.2%","44.4%","25.0%",".302","91.1","13.7","12.5%","117.7",".546","20043"
"Shohei Ohtani","LAA","158","639","46","103","100","26","15.0%","29.6%",".335",".303",".257",".372",".592",".393",".411","151","2.5","42.1","-13.6","5.0","138","58","26","8","96","189","4","10",".965","0.94","21.4%","38.0%","40.6%","5.0%","32.9%","13.0%","30.1%","72.0%","45.8%","52.8%","77.3%","67.2%","37.4%","15.0%","53.4%","29.4%",".269","93.6","16.8","22.3%","119.0",".616","19755"
"Josh Tomlin","ATL","36","5","0","0","0","0","20.0%","20.0%",".000",".500",".333",".500",".333",".393",".192","144","0.0","0.3","0.6","0.1","1","1","0","0","1","1","0","0",".833","1.00","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","20.0%","45.5%","37.5%","0.0%","80.0%","66.7%","68.8%","12.5%","0.0%","43.8%",".026","89.1","9.5","0.0%","91.5",".032","9388"
"Andrew Heaney","- - -","30","4","0","1","0","0","25.0%","50.0%",".000","1.000",".333",".500",".333",".393",".333","154","0.0","0.2","0.5","0.1","1","1","0","0","1","2","0","0",".833","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","25.0%","","75.0%","75.0%","50.0%","6.3%","0.0%","43.8%",".230","94.1","10.2","0.0%","94.1",".258","15423"
"Matthew Boyd","DET","15","5","0","0","0","0","20.0%","20.0%",".000",".500",".333",".500",".333",".393",".610","153","0.0","0.3","0.6","0.1","1","1","0","0","1","1","0","0",".833","0.00","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%","50.0%","35.0%","50.0%","100.0%","85.7%","50.0%","5.0%","0.0%","40.0%",".607","93.3","14.8","0.0%","94.2",".725","15440"
"Ivan Castillo","SDP","3","4","0","0","1","0","25.0%","0.0%",".000",".333",".333",".500",".333",".393",".308","150","0.0","0.2","0.2","0.1","1","1","0","0","1","0","0","0",".833","3.00","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","17.6%","60.0%","27.3%","66.7%","100.0%","83.3%","22.7%","4.5%","33.3%","22.7%",".194","90.9","-21.4","0.0%","98.2",".219","15971"
"Dakota Hudson","STL","2","4","0","1","0","0","25.0%","50.0%",".000","1.000",".333",".500",".333",".393",".234","150","0.0","0.2","0.5","0.1","1","1","0","0","1","2","0","0",".833","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","14.3%","57.1%","28.6%","50.0%","75.0%","66.7%","33.3%","9.5%","0.0%","33.3%",".075","66.3","-58.7","0.0%","66.3",".075","19206"
"Kyle Schwarber","- - -","113","471","32","76","71","1","13.6%","27.0%",".288",".306",".266",".374",".554",".392",".399","145","-1.6","24.9","-12.5","2.8","106","55","19","0","64","127","6","1",".928","0.94","20.8%","38.3%","40.9%","8.0%","28.6%","2.9%","23.3%","67.6%","41.4%","58.0%","81.2%","73.5%","40.8%","11.0%","52.2%","28.2%",".265","92.3","15.4","17.5%","116.6",".565","16478"
"Joey Votto","CIN","129","533","36","73","99","1","14.4%","23.8%",".297",".287",".266",".375",".563",".391",".406","139","0.4","26.9","-9.0","3.6","119","59","23","1","77","127","4","0",".938","0.76","26.5%","31.7%","41.8%","5.9%","26.5%","8.7%","24.7%","71.5%","43.9%","57.1%","81.6%","73.5%","41.1%","11.6%","53.2%","27.4%",".274","92.9","18.2","17.2%","114.1",".592","4314"
"Nick Castellanos","CIN","138","585","34","95","100","3","7.0%","20.7%",".267",".340",".309",".362",".576",".391",".374","139","-0.5","28.5","-13.0","3.5","164","91","38","1","41","121","7","1",".939","1.05","26.7%","37.5%","35.8%","6.0%","22.8%","7.1%","40.4%","79.9%","54.9%","56.8%","83.2%","70.9%","36.9%","16.0%","46.9%","26.1%",".293","89.8","14.0","10.6%","111.9",".535","11737"
"Corey Seager","LAD","95","409","16","54","57","1","11.7%","16.1%",".215",".336",".306",".394",".521",".389",".392","146","-1.9","22.1","0.4","3.6","108","67","22","3","48","66","5","1",".915","1.37","20.7%","45.9%","33.4%","4.1%","16.5%","7.5%","32.0%","84.6%","53.3%","51.1%","86.2%","73.7%","40.5%","14.0%","49.0%","22.0%",".295","91.0","10.7","12.4%","115.3",".530","13624"
"Aaron Judge","NYY","148","633","39","89","98","6","11.8%","25.0%",".256",".332",".287",".373",".544",".387",".418","149","-0.1","37.7","-4.5","5.5","158","95","24","0","75","158","3","1",".916","1.16","23.2%","41.3%","35.5%","3.5%","27.7%","6.1%","27.0%","67.5%","42.5%","56.7%","84.2%","73.4%","38.2%","11.3%","57.9%","28.3%",".308","95.8","11.6","17.6%","119.0",".594","15640"
"Andy Burns","LAD","9","15","0","2","0","0","20.0%","6.7%",".091",".300",".273",".467",".364",".386",".401","144","-0.1","0.7","-0.3","0.1","3","2","1","0","3","1","1","0",".830","2.00","40.0%","40.0%","20.0%","0.0%","0.0%","25.0%","5.7%","70.6%","37.7%","100.0%","87.5%","88.5%","49.3%","4.3%","20.0%","27.5%",".308","86.1","7.5","0.0%","104.2",".366","12779"
"Trea Turner","- - -","148","646","28","107","77","32","6.3%","17.0%",".208",".362",".328",".375",".536",".386",".364","142","5.0","39.6","6.5","6.8","195","130","34","3","41","110","6","5",".911","1.34","21.1%","45.2%","33.7%","9.7%","17.0%","9.5%","30.7%","73.6%","49.2%","63.1%","88.1%","79.2%","43.1%","10.2%","46.0%","26.2%",".304","89.6","11.4","7.4%","112.2",".485","16252"
"Bryan Reynolds","PIT","159","646","24","93","90","5","11.6%","18.4%",".220",".345",".302",".390",".522",".385",".386","141","3.0","36.8","2.2","6.1","169","102","35","8","75","119","8","2",".912","1.10","25.6%","38.9%","35.5%","3.8%","15.3%","7.0%","28.4%","78.2%","48.8%","58.7%","87.8%","77.8%","40.9%","10.8%","40.8%","23.1%",".294","89.4","13.4","10.4%","112.7",".523","19326"
"Ketel Marte","ARI","90","374","14","52","50","2","8.3%","16.0%",".215",".352",".318",".377",".532",".385",".372","140","-0.4","18.5","-7.8","2.3","108","64","29","1","31","60","2","0",".909","1.41","22.2%","45.5%","32.3%","13.3%","15.6%","5.5%","30.4%","67.5%","46.0%","73.5%","91.7%","84.7%","41.9%","7.0%","48.4%","24.2%",".307","91.1","10.3","8.9%","116.0",".495","13613"
"Darin Ruf","SFG","117","312","16","41","43","2","14.7%","27.9%",".248",".344",".271",".385",".519",".384",".381","143","-1.0","16.0","1.7","2.8","71","40","13","2","46","87","3","0",".904","1.36","26.1%","42.6%","31.3%","9.1%","29.1%","2.7%","23.8%","59.5%","38.1%","59.9%","87.2%","76.9%","39.9%","8.8%","54.5%","30.7%",".262","93.0","9.8","14.2%","110.8",".515","9929"
"John Hicks","TEX","10","31","4","6","7","0","0.0%","25.8%",".419",".211",".258",".258",".677",".384",".361","146","0.2","1.9","0.0","0.3","8","3","1","0","0","8","0","0",".935","0.62","8.7%","34.8%","56.5%","15.4%","30.8%","0.0%","45.8%","84.1%","65.6%","59.3%","64.2%","62.5%","51.6%","24.6%","34.8%","33.6%",".245","90.6","22.8","21.7%","108.0",".630","12547"
