"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","xERA","FIP","xFIP","WAR","BS","H","R","ER","HR","BB","HBP","WP","SO","GB","FB","LD","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","FB%","SL%","CT%","CB%","CH%","SF%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HLD","K%","BB%","SIERA","EV","LA","Barrel%","maxEV","HardHit%","CSW%","playerid"
"Ken Giles","SEA","0","0","0","5","0","4.1","12.46","8.31","0.00",".125","100.0%","37.5%","0.0%","0.00","2.94","3.11","4.14","0.0","0","1","0","0","0","4","0","1","6","3","3","2",".071","1.15",".125","100.0%","1.00","25.0%","37.5%","37.5%","0.0%","0.0%","44.8%","55.2%","","","","","34.9%","62.5%","44.8%","60.0%","73.3%","66.7%","35.8%","14.9%","0","33.3%","22.2%","4.63","92.9","15.0","12.5%","112.0","25.0%","31.3%","12910"
"Orlando Arcia","ATL","0","0","0","1","0","1.0","0.00","9.00","0.00",".000","100.0%","0.0%","0.0%","0.00","2.98","6.11","10.55","0.0","0","0","0","0","0","1","0","0","0","0","3","0",".000","1.00",".000","100.0%","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","","","","","","42.9%","100.0%","60.0%","100.0%","66.7%","83.3%","30.0%","10.0%","0","0.0%","25.0%","13.30","85.2","38.6","0.0%","91.1","0.0%","10.0%","13185"
"Ildemaro Vargas","WSN","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","0.00","1.77","3.11","4.59","0.0","0","0","0","0","0","0","0","0","0","2","1","0",".000","0.00",".000","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","100.0%","","","","","","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","33.3%","0.0%","0","0.0%","0.0%","4.60","83.6","-1.6","0.0%","94.2","0.0%","0.0%","13324"
"Austin Adams","SDP","1","0","0","2","0","2.1","7.71","11.57","0.00",".000","100.0%","100.0%","0.0%","0.00","3.78","5.26","5.26","0.0","0","0","0","0","0","3","0","0","2","4","0","0",".000","1.29",".000","100.0%","4.00","0.0%","100.0%","0.0%","0.0%","0.0%","20.8%","79.2%","","","","","14.3%","65.0%","35.4%","50.0%","76.9%","70.6%","41.7%","10.4%","0","22.2%","33.3%","7.50","86.7","-8.9","0.0%","98.4","50.0%","31.3%","13801"
"Kevin Plawecki","BOS","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","0.0%","0.0%","0.00","11.22","3.11","7.55","0.0","0","1","0","0","0","0","0","0","0","0","3","1",".250","1.00",".250","100.0%","0.00","25.0%","0.0%","75.0%","0.0%","0.0%","77.8%","","","16.7%","","","40.0%","75.0%","55.6%","100.0%","100.0%","100.0%","44.4%","0.0%","0","0.0%","0.0%","10.41","89.4","27.3","25.0%","101.1","50.0%","11.1%","13807"
"Franmil Reyes","CHC","0","0","0","1","0","1.0","9.00","0.00","0.00",".000","100.0%","100.0%","0.0%","0.00","3.08","4.11","4.11","0.0","0","0","0","0","0","0","1","0","1","1","0","0",".000","0.00",".000","100.0%","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","","","","","","12.5%","100.0%","30.0%","0.0%","100.0%","66.7%","20.0%","10.0%","0","33.3%","0.0%","1.02","87.3","-20.7","0.0%","87.3","0.0%","40.0%","14566"
"Jack Mayfield","LAA","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","25.0%","0.0%","0.00","4.62","3.11","6.07","0.0","0","1","0","0","0","0","0","0","0","1","2","1",".250","1.00",".250","100.0%","0.50","25.0%","25.0%","50.0%","0.0%","0.0%","100.0%","","","","","","0.0%","44.4%","30.8%","","100.0%","100.0%","69.2%","0.0%","0","0.0%","0.0%","6.80","75.2","15.7","0.0%","93.8","0.0%","30.8%","15402"
"Willians Astudillo","MIA","0","0","0","2","0","2.0","0.00","9.00","0.00",".000","100.0%","20.0%","0.0%","0.00","13.67","6.11","6.85","0.0","0","0","0","0","0","2","0","0","0","1","1","3",".000","1.00",".000","100.0%","1.00","60.0%","20.0%","20.0%","0.0%","0.0%","60.9%","","","","","","30.0%","0.0%","26.1%","100.0%","","100.0%","13.0%","0.0%","0","0.0%","28.6%","10.45","89.5","15.2","0.0%","98.7","20.0%","13.0%","15608"
"Reese McGuire","BOS","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","0.00","2.37","3.11","6.07","0.0","0","0","0","0","0","0","0","0","0","1","2","0",".000","0.00",".000","100.0%","0.50","0.0%","33.3%","66.7%","0.0%","0.0%","100.0%","","","","","","66.7%","75.0%","71.4%","100.0%","100.0%","100.0%","57.1%","0.0%","0","0.0%","0.0%","7.23","89.4","17.6","0.0%","97.1","33.3%","14.3%","15674"
"Pablo Reyes","MIL","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","0.00","0.89","3.11","4.59","0.0","0","0","0","0","0","0","0","0","0","1","1","1",".000","0.00",".000","100.0%","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","100.0%","","","","","","14.3%","100.0%","33.3%","100.0%","100.0%","100.0%","22.2%","0.0%","0","0.0%","0.0%","5.92","78.9","21.5","0.0%","84.4","0.0%","33.3%","16357"
"Ryan Castellani","OAK","0","0","0","3","0","2.2","3.38","0.00","0.00",".200","50.0%","60.0%","0.0%","0.00","4.62","2.36","3.47","0.1","0","2","1","0","0","0","0","2","1","6","2","2",".182","0.75",".200","50.0%","3.00","20.0%","60.0%","20.0%","0.0%","0.0%","48.9%","46.7%","","4.4%","","","30.4%","81.8%","55.6%","71.4%","100.0%","92.0%","48.9%","4.4%","1","9.1%","0.0%","3.27","92.5","5.1","10.0%","106.9","50.0%","17.8%","16377"
"Yonny Chirinos","TBR","1","0","0","2","1","7.0","7.71","1.29","0.00",".318","100.0%","72.7%","0.0%","0.00","3.01","2.26","3.10","0.2","0","7","0","0","0","1","1","1","6","16","4","2",".250","1.14",".318","100.0%","4.00","9.1%","72.7%","18.2%","0.0%","0.0%","58.0%","24.0%","","","","18.0%","33.3%","67.4%","49.0%","61.1%","93.5%","81.6%","46.0%","9.0%","0","20.0%","3.3%","2.44","90.8","-2.5","4.5%","104.6","45.5%","27.0%","16401"
"J.P. Feyereisen","TBR","4","0","1","22","2","24.1","9.25","1.85","0.00",".125","91.7%","33.9%","0.0%","0.00","2.43","1.67","3.56","1.0","1","7","1","0","0","5","0","0","25","19","31","6",".086","0.49",".125","91.7%","0.61","10.7%","33.9%","55.4%","19.4%","0.0%","44.5%","29.1%","","","26.5%","","36.8%","74.2%","51.2%","56.4%","77.6%","68.2%","38.4%","16.3%","7","29.1%","5.8%","2.93","89.4","24.9","7.1%","110.1","39.3%","29.9%","16610"
"Vinny Nittoli","PHI","0","0","0","2","0","2.0","4.50","4.50","0.00",".000","100.0%","60.0%","0.0%","0.00","2.13","5.11","6.59","0.0","0","0","0","0","0","1","1","0","1","3","2","0",".000","0.50",".000","100.0%","1.50","0.0%","60.0%","40.0%","0.0%","0.0%","30.0%","60.0%","","10.0%","","","23.8%","78.9%","50.0%","100.0%","73.3%","80.0%","47.5%","10.0%","1","12.5%","12.5%","5.32","82.9","-0.3","0.0%","89.0","0.0%","25.0%","16754"
"Jermaine Palacios","MIN","0","0","0","2","0","0.2","13.50","0.00","0.00",".500","100.0%","50.0%","0.0%","0.00","3.57","0.11","2.33","0.0","0","1","0","0","0","0","0","0","1","1","1","0",".333","1.50",".500","100.0%","1.00","0.0%","50.0%","50.0%","0.0%","0.0%","100.0%","","","","","","66.7%","100.0%","75.0%","50.0%","100.0%","66.7%","25.0%","25.0%","0","33.3%","0.0%","1.76","96.1","15.9","0.0%","97.1","50.0%","25.0%","18371"
"Conner Menez","CHC","0","0","0","1","0","1.0","9.00","0.00","0.00",".333","100.0%","33.3%","0.0%","0.00","10.31","4.11","5.59","0.0","0","1","0","0","0","0","1","0","1","1","1","1",".250","1.00",".333","100.0%","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","45.8%","50.0%","","4.2%","","","21.4%","60.0%","37.5%","100.0%","100.0%","100.0%","41.7%","0.0%","0","20.0%","0.0%","3.18","86.9","17.0","0.0%","98.1","33.3%","20.8%","19199"
"Kyle Dowdy","CIN","0","0","0","2","0","6.1","4.26","4.26","0.00",".250","100.0%","50.0%","0.0%","0.00","4.00","4.06","5.93","0.0","0","5","0","0","0","3","1","0","3","10","8","2",".217","1.26",".250","100.0%","1.25","10.0%","50.0%","40.0%","0.0%","0.0%","37.9%","22.1%","","40.0%","","","26.3%","71.1%","44.2%","80.0%","96.3%","90.5%","40.0%","4.2%","0","11.1%","11.1%","5.41","89.1","14.2","5.0%","112.9","35.0%","17.9%","19285"
"Brian Serven","COL","0","0","0","1","0","1.0","0.00","9.00","0.00",".000","100.0%","50.0%","0.0%","0.00","5.78","6.11","7.59","0.0","0","0","0","0","0","1","0","0","0","1","1","0",".000","1.00",".000","100.0%","1.00","0.0%","50.0%","50.0%","0.0%","0.0%","","","","","","","20.0%","66.7%","37.5%","100.0%","100.0%","100.0%","37.5%","0.0%","0","0.0%","33.3%","11.61","79.5","15.2","0.0%","85.5","0.0%","12.5%","19422"
"Jorge Alcala","MIN","0","0","0","2","0","2.1","7.71","7.71","0.00",".333","100.0%","50.0%","0.0%","0.00","4.62","3.97","5.24","0.0","0","2","0","0","0","2","0","0","2","3","2","1",".250","1.71",".333","100.0%","1.50","16.7%","50.0%","33.3%","0.0%","0.0%","37.5%","55.0%","","","7.5%","","20.8%","75.0%","42.5%","40.0%","83.3%","70.6%","40.0%","12.5%","0","20.0%","20.0%","5.67","80.0","15.0","0.0%","96.0","16.7%","30.0%","19459"
"Andrew Knizner","STL","0","0","0","1","0","0.2","0.00","0.00","0.00",".333","100.0%","33.3%","0.0%","0.00","7.18","3.11","5.33","0.0","0","1","0","0","0","0","0","0","0","1","1","1",".333","1.50",".333","100.0%","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","100.0%","","","","","","40.0%","83.3%","63.6%","100.0%","100.0%","100.0%","54.5%","0.0%","0","0.0%","0.0%","5.92","90.3","2.7","0.0%","100.1","33.3%","9.1%","19514"
"Sheldon Neuse","OAK","0","0","0","3","0","3.2","0.00","0.00","0.00",".083","100.0%","33.3%","0.0%","0.00","3.78","3.11","5.94","0.0","0","1","0","0","0","0","0","0","0","4","7","1",".083","0.27",".083","100.0%","0.57","8.3%","33.3%","58.3%","0.0%","0.0%","69.7%","","","","","","31.8%","72.7%","45.5%","100.0%","100.0%","100.0%","33.3%","0.0%","0","0.0%","0.0%","6.80","91.2","17.3","16.7%","99.8","58.3%","18.2%","19635"
"Jordan Sheffield","COL","0","0","0","2","0","2.0","4.50","9.00","0.00",".400","100.0%","60.0%","0.0%","0.00","6.41","5.11","5.85","0.0","0","2","0","0","0","2","0","0","1","3","1","1",".333","2.00",".400","100.0%","3.00","20.0%","60.0%","20.0%","100.0%","0.0%","48.6%","","","29.7%","21.6%","","13.6%","66.7%","35.1%","33.3%","80.0%","69.2%","40.5%","10.8%","0","12.5%","25.0%","7.30","88.5","10.8","0.0%","106.4","60.0%","18.9%","19682"
"Mike Brosseau","MIL","0","0","0","3","0","3.0","0.00","3.00","0.00",".167","100.0%","50.0%","0.0%","0.00","13.67","4.11","5.10","0.0","0","2","0","0","0","1","0","0","0","6","2","4",".167","1.00",".167","100.0%","3.00","33.3%","50.0%","16.7%","0.0%","0.0%","100.0%","","","","","","25.0%","75.0%","38.6%","87.5%","100.0%","94.1%","27.3%","2.3%","0","0.0%","7.7%","5.67","93.7","7.2","0.0%","103.6","50.0%","18.2%","19683"
"Darick Hall","PHI","0","0","0","1","0","0.1","0.00","0.00","0.00",".500","100.0%","0.0%","0.0%","0.00","10.00","3.11","7.55","0.0","0","1","0","0","0","0","0","0","0","0","1","1",".500","3.00",".500","100.0%","0.00","50.0%","0.0%","50.0%","100.0%","0.0%","100.0%","","","","","","0.0%","66.7%","33.3%","","100.0%","100.0%","50.0%","0.0%","0","0.0%","0.0%","8.30","80.7","41.7","0.0%","90.8","0.0%","33.3%","19717"
"Michel Baez","SDP","0","0","0","2","0","2.0","9.00","0.00","0.00",".200","100.0%","40.0%","0.0%","0.00","1.22","1.11","2.59","0.0","0","1","0","0","0","0","0","1","2","2","2","1",".143","0.50",".200","100.0%","1.00","20.0%","40.0%","40.0%","0.0%","0.0%","56.0%","12.0%","","","32.0%","","35.3%","75.0%","48.0%","83.3%","83.3%","83.3%","32.0%","8.0%","0","28.6%","0.0%","2.23","87.9","12.4","0.0%","111.0","40.0%","16.0%","20100"
"Riley O'Brien","SEA","0","0","0","1","0","1.0","9.00","9.00","0.00",".333","100.0%","100.0%","0.0%","0.00","2.24","4.11","4.11","0.0","0","1","0","0","0","1","0","0","1","3","0","0",".250","2.00",".333","100.0%","3.00","0.0%","100.0%","0.0%","0.0%","0.0%","47.8%","","","52.2%","","","18.2%","75.0%","47.8%","100.0%","88.9%","90.9%","52.2%","4.3%","0","20.0%","20.0%","3.77","98.5","-23.0","0.0%","105.1","66.7%","17.4%","20348"
"Bowden Francis","TOR","0","0","0","1","0","0.2","13.50","0.00","0.00",".500","100.0%","50.0%","0.0%","0.00","0.73","0.11","0.11","0.0","0","1","0","0","0","0","0","0","1","1","0","1",".333","1.50",".500","100.0%","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","44.4%","11.1%","","33.3%","11.1%","","50.0%","100.0%","77.8%","0.0%","100.0%","71.4%","55.6%","22.2%","0","33.3%","0.0%","1.02","73.3","-13.8","0.0%","77.8","0.0%","22.2%","20548"
"Luis Castillo","DET","0","0","0","3","0","3.2","9.82","0.00","0.00",".200","100.0%","70.0%","0.0%","0.00","2.20","0.93","1.74","0.1","0","2","0","0","0","0","0","0","4","7","2","1",".143","0.55",".200","100.0%","3.50","10.0%","70.0%","20.0%","0.0%","0.0%","53.3%","30.0%","","","16.7%","","33.3%","85.7%","51.7%","46.2%","100.0%","77.4%","35.0%","11.7%","0","28.6%","0.0%","1.31","94.5","2.4","10.0%","108.9","40.0%","23.3%","20638"
"Aneurys Zabala","MIA","0","0","0","2","0","2.2","6.75","3.38","0.00",".375","100.0%","25.0%","0.0%","0.00","10.69","2.74","4.96","0.0","0","3","0","0","0","1","0","0","2","2","4","2",".300","1.50",".375","100.0%","0.50","25.0%","25.0%","50.0%","0.0%","0.0%","51.2%","","","14.0%","34.9%","","20.8%","73.7%","44.2%","60.0%","78.6%","73.7%","44.2%","11.6%","0","18.2%","9.1%","4.66","88.9","17.8","0.0%","100.9","50.0%","27.9%","20802"
"Nick Duron","PHI","0","0","0","1","0","1.0","9.00","0.00","0.00",".667","100.0%","100.0%","0.0%","0.00","1.89","1.11","1.11","0.0","0","2","0","0","0","0","0","0","1","3","0","0",".500","2.00",".667","100.0%","3.00","0.0%","100.0%","0.0%","0.0%","0.0%","75.0%","25.0%","","","","","0.0%","75.0%","37.5%","","83.3%","83.3%","50.0%","6.3%","0","25.0%","0.0%","-0.92","89.2","-4.3","0.0%","95.6","33.3%","31.3%","21092"
"Yerry Rodriguez","TEX","0","0","0","1","0","1.0","9.00","0.00","0.00",".333","100.0%","66.7%","0.0%","0.00","2.32","1.11","2.59","0.0","0","1","0","0","0","0","0","1","1","2","1","0",".250","1.00",".333","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","55.6%","44.4%","","","","","40.0%","87.5%","61.1%","100.0%","85.7%","90.9%","44.4%","5.6%","1","25.0%","0.0%","2.05","95.5","0.9","0.0%","104.6","66.7%","16.7%","21955"
"Angel Rondon","STL","1","0","0","1","0","5.0","7.20","5.40","0.00",".077","100.0%","23.1%","0.0%","0.00","3.46","3.31","5.68","0.1","0","1","0","0","0","3","0","0","4","3","8","2",".059","0.80",".077","100.0%","0.38","15.4%","23.1%","61.5%","12.5%","0.0%","54.7%","26.7%","","","18.6%","","27.8%","68.8%","43.0%","73.3%","95.5%","86.5%","37.2%","5.8%","0","20.0%","15.0%","5.38","89.4","26.4","0.0%","103.1","23.1%","19.8%","22036"
"Kyle Tyler","SDP","1","0","0","2","0","4.0","4.50","2.25","0.00",".182","100.0%","63.6%","0.0%","0.00","3.39","2.86","3.60","0.0","0","2","0","0","0","1","0","0","2","7","2","2",".154","0.75",".182","100.0%","3.50","18.2%","63.6%","18.2%","0.0%","0.0%","70.0%","","","27.5%","2.5%","","30.4%","64.7%","45.0%","71.4%","81.8%","77.8%","42.5%","10.0%","0","14.3%","7.1%","3.52","86.0","-1.9","9.1%","110.4","27.3%","25.0%","22092"
"Max Kranick","PIT","0","0","0","2","0","5.0","7.20","5.40","0.00",".250","100.0%","25.0%","0.0%","0.00","2.17","3.31","5.09","0.2","0","3","0","0","0","3","0","1","4","3","6","3",".188","1.20",".250","100.0%","0.50","25.0%","25.0%","50.0%","50.0%","0.0%","52.6%","36.8%","","10.5%","","","31.5%","68.2%","42.1%","58.8%","86.7%","71.9%","28.9%","11.8%","1","21.1%","15.8%","5.12","80.3","20.8","0.0%","107.4","16.7%","21.1%","22175"
"Easton McGee","TBR","0","0","0","1","0","3.0","3.00","0.00","0.00",".308","75.0%","23.1%","0.0%","0.00","3.19","2.45","5.41","0.0","0","4","1","0","0","0","0","0","1","3","6","4",".286","1.33",".308","75.0%","0.50","30.8%","23.1%","46.2%","0.0%","0.0%","34.8%","41.3%","13.0%","4.3%","6.5%","","37.0%","68.4%","50.0%","80.0%","100.0%","91.3%","41.3%","4.3%","0","7.1%","0.0%","5.49","88.9","22.2","0.0%","104.6","38.5%","21.7%","22176"
"Freddy Tarnok","ATL","0","0","0","1","0","0.2","13.50","0.00","0.00",".500","100.0%","50.0%","0.0%","0.00","3.94","0.11","0.11","0.0","0","1","0","0","0","0","0","0","1","1","0","1",".333","1.50",".500","100.0%","1.00","50.0%","50.0%","0.0%","0.0%","0.0%","50.0%","","","","50.0%","","60.0%","60.0%","60.0%","33.3%","33.3%","33.3%","50.0%","40.0%","0","33.3%","0.0%","1.02","94.7","9.9","0.0%","101.9","50.0%","60.0%","23324"
"William Woods","ATL","0","0","0","2","0","2.0","9.00","4.50","0.00",".400","100.0%","20.0%","0.0%","0.00","2.41","2.61","4.09","0.0","0","2","0","0","0","1","0","0","2","1","2","2",".286","1.50",".400","100.0%","0.50","40.0%","20.0%","40.0%","0.0%","0.0%","67.7%","32.3%","","","","","28.6%","60.0%","38.7%","66.7%","83.3%","75.0%","32.3%","9.7%","0","25.0%","12.5%","4.09","88.9","24.2","0.0%","97.7","20.0%","29.0%","25075"
"Cam Alldred","PIT","0","0","0","1","0","1.0","9.00","0.00","0.00",".333","100.0%","66.7%","0.0%","0.00","0.76","1.11","2.59","0.0","0","1","0","0","0","0","0","0","1","2","1","0",".250","1.00",".333","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","50.0%","37.5%","","","12.5%","","25.0%","75.0%","50.0%","50.0%","100.0%","87.5%","50.0%","6.3%","0","25.0%","0.0%","2.05","86.2","15.2","0.0%","90.5","0.0%","31.3%","25078"
"Nick Mears","PIT","0","0","0","2","0","2.0","9.00","4.50","0.00",".200","100.0%","40.0%","0.0%","0.00","2.24","2.61","4.09","0.0","0","1","0","0","0","1","0","0","2","2","2","1",".143","1.00",".200","100.0%","1.00","20.0%","40.0%","40.0%","0.0%","0.0%","54.8%","19.4%","","25.8%","","","47.4%","91.7%","64.5%","55.6%","81.8%","70.0%","38.7%","19.4%","1","25.0%","12.5%","3.96","85.4","19.2","0.0%","102.0","20.0%","22.6%","25376"
"Nash Walters","LAA","0","0","0","1","0","0.1","0.00","27.00","0.00",".500","100.0%","100.0%","0.0%","0.00","3.51","12.11","12.11","0.0","0","1","0","0","0","1","0","0","0","2","0","0",".500","6.00",".500","100.0%","2.00","0.0%","100.0%","0.0%","0.0%","0.0%","56.3%","37.5%","","6.3%","","","20.0%","100.0%","50.0%","100.0%","100.0%","100.0%","37.5%","0.0%","0","0.0%","33.3%","8.90","90.0","-24.8","0.0%","94.4","0.0%","0.0%","25413"
"Nate Fisher","NYM","0","0","0","1","0","3.0","3.00","6.00","0.00",".125","100.0%","25.0%","0.0%","0.00","2.85","4.45","6.91","0.0","0","1","0","0","0","2","0","0","1","2","5","1",".111","1.00",".125","100.0%","0.40","12.5%","25.0%","62.5%","0.0%","0.0%","48.0%","34.0%","","4.0%","14.0%","","25.0%","68.2%","44.0%","71.4%","93.3%","86.4%","44.0%","6.0%","0","9.1%","18.2%","7.56","89.5","30.8","0.0%","102.0","25.0%","24.0%","25512"
