"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","xERA","FIP","xFIP","WAR","BS","H","R","ER","HR","BB","HBP","WP","SO","GB","FB","LD","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","FB%","SL%","CT%","CB%","CH%","SF%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","SwStr%","HLD","K%","BB%","SIERA","EV","LA","Barrel%","maxEV","HardHit%","CSW%","playerid"
"Sean Doolittle","WSN","0","0","0","6","0","5.1","10.13","0.00","0.00",".091","100.0%","27.3%","0.0%","0.00","1.07","0.86","3.08","0.3","0","1","0","0","0","0","0","0","6","3","8","0",".059","0.19",".091","100.0%","0.38","0.0%","27.3%","72.7%","12.5%","0.0%","74.5%","21.8%","","","3.6%","","44.8%","69.2%","56.4%","46.2%","77.8%","64.5%","47.3%","20.0%","2","35.3%","0.0%","2.15","95.6","24.7","9.1%","108.0","63.6%","38.2%","1581"
"Charlie Culberson","TEX","0","0","0","2","0","2.0","0.00","4.50","0.00",".143","100.0%","42.9%","0.0%","0.00","3.15","4.61","6.83","0.0","0","1","0","0","0","1","0","0","0","3","3","1",".143","1.00",".143","100.0%","1.00","14.3%","42.9%","42.9%","0.0%","0.0%","92.9%","","","7.1%","","","23.5%","81.8%","46.4%","100.0%","88.9%","92.3%","39.3%","3.6%","0","0.0%","12.5%","7.39","91.0","16.2","0.0%","106.5","28.6%","17.9%","3298"
"Sandy Leon","CLE","0","0","0","1","0","2.0","0.00","0.00","0.00",".000","100.0%","16.7%","0.0%","0.00","0.26","3.11","6.81","0.0","0","0","0","0","0","0","0","0","0","1","5","0",".000","0.00",".000","100.0%","0.20","0.0%","16.7%","83.3%","0.0%","0.0%","100.0%","","","","","","27.3%","66.7%","41.2%","100.0%","75.0%","85.7%","35.3%","5.9%","0","0.0%","0.0%","9.64","80.8","29.0","0.0%","92.8","0.0%","29.4%","5273"
"Marwin Gonzalez","NYY","0","0","0","1","0","0.1","0.00","0.00","0.00",".000","100.0%","100.0%","0.0%","0.00","2.59","3.11","3.11","0.0","0","0","0","0","0","0","0","0","0","1","0","0",".000","0.00",".000","100.0%","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","","","","","","0.0%","50.0%","25.0%","","100.0%","100.0%","50.0%","0.0%","0","0.0%","0.0%","-1.30","102.9","-12.8","0.0%","102.9","100.0%","25.0%","5497"
"Jay Jackson","ATL","0","0","0","2","0","1.1","6.75","0.00","0.00",".250","100.0%","0.0%","0.0%","0.00","1.14","1.61","3.83","0.0","0","1","0","0","0","0","0","0","1","0","2","1",".200","0.75",".250","100.0%","0.00","33.3%","0.0%","66.7%","50.0%","0.0%","41.7%","58.3%","","","","","0.0%","85.7%","50.0%","","66.7%","66.7%","58.3%","16.7%","0","20.0%","0.0%","4.47","99.3","45.8","0.0%","104.2","75.0%","25.0%","7432"
"Ehire Adrianza","WSN","0","0","0","1","0","1.0","9.00","9.00","0.00",".000","100.0%","0.0%","0.0%","0.00","1.35","4.11","7.07","0.0","0","0","0","0","0","1","0","0","1","0","2","0",".000","1.00",".000","100.0%","0.00","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","","","","","","10.0%","100.0%","25.0%","0.0%","100.0%","66.7%","16.7%","8.3%","0","25.0%","25.0%","7.26","88.7","42.7","0.0%","89.5","0.0%","25.0%","8418"
"Darin Ruf","NYM","0","0","0","1","0","2.0","0.00","0.00","0.00",".143","100.0%","28.6%","0.0%","0.00","4.68","3.11","6.81","0.0","0","1","0","0","0","0","0","0","0","2","5","0",".143","0.50",".143","100.0%","0.40","0.0%","28.6%","71.4%","0.0%","0.0%","100.0%","","","","","","50.0%","66.7%","57.1%","100.0%","100.0%","100.0%","42.9%","0.0%","0","0.0%","0.0%","7.81","91.7","25.2","14.3%","103.2","57.1%","14.3%","9929"
"Randal Grichuk","COL","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","0.00","2.11","3.11","4.59","0.0","0","0","0","0","0","0","0","0","0","2","1","0",".000","0.00",".000","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","40.0%","","40.0%","20.0%","","","55.6%","0.0%","50.0%","80.0%","","80.0%","10.0%","10.0%","0","0.0%","0.0%","4.60","82.6","23.2","0.0%","105.6","33.3%","20.0%","10243"
"Corey Dickerson","STL","0","0","0","1","0","1.0","0.00","9.00","0.00",".400","100.0%","20.0%","0.0%","0.00","8.48","6.11","7.59","0.0","0","2","0","0","0","1","0","0","0","1","1","3",".400","3.00",".400","100.0%","1.00","60.0%","20.0%","20.0%","0.0%","0.0%","66.7%","","","","","","18.2%","85.7%","44.4%","100.0%","100.0%","100.0%","38.9%","0.0%","0","0.0%","16.7%","8.06","85.8","24.7","0.0%","102.8","20.0%","11.1%","10762"
"Phil Gosselin","LAA","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","0.00","2.68","3.11","4.59","0.0","0","0","0","0","0","0","0","0","0","2","1","0",".000","0.00",".000","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","100.0%","","","","","","33.3%","100.0%","60.0%","100.0%","100.0%","100.0%","40.0%","0.0%","0","0.0%","0.0%","4.60","90.3","7.5","0.0%","94.8","0.0%","0.0%","10953"
"Parker Markel","OAK","0","0","0","3","0","3.0","9.00","15.00","0.00",".200","100.0%","40.0%","0.0%","0.00","8.75","6.11","7.59","-0.1","0","1","0","0","0","5","0","0","3","2","3","0",".125","2.00",".200","100.0%","0.67","0.0%","40.0%","60.0%","0.0%","0.0%","42.6%","54.1%","","3.3%","","","18.8%","69.2%","29.5%","55.6%","88.9%","72.2%","21.3%","8.2%","0","23.1%","38.5%","9.51","102.4","16.4","20.0%","107.4","80.0%","24.6%","12106"
"Jace Peterson","MIL","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","0.00","1.95","3.11","4.59","0.0","0","0","0","0","0","0","0","0","0","2","1","0",".000","0.00",".000","100.0%","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","100.0%","","","","","","0.0%","75.0%","37.5%","","100.0%","100.0%","50.0%","0.0%","0","0.0%","0.0%","4.60","81.4","21.8","0.0%","85.4","0.0%","25.0%","12325"
"Alex Claudio","NYM","0","0","0","3","0","3.1","5.40","5.40","0.00",".111","100.0%","66.7%","0.0%","0.00","2.55","3.71","4.60","0.0","0","1","0","0","0","2","0","0","2","6","2","1",".091","0.90",".111","100.0%","3.00","11.1%","66.7%","22.2%","0.0%","0.0%","54.0%","22.0%","","","24.0%","","33.3%","76.5%","48.0%","54.5%","100.0%","79.2%","34.0%","10.0%","0","15.4%","15.4%","4.87","85.1","3.3","0.0%","99.3","22.2%","18.0%","12890"
