"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","LD%","GB%","FB%","HR/FB","wOBA","WAR","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","maxEV","Barrel%","HardHit%","CSW%","xBA","xSLG","xwOBA","playerid"
"Austin Riley","ATL","159","615","693","168","89","39","2","38","90","93","57","1","168","17","4","0","13","2","0",".273","8.2%","24.2%",".349",".528",".878",".255",".315","23.5%","37.9%","38.6%","21.8%",".377","5.5","142","34.5%","77.3%","51.6%","57.5%","85.9%","13.2%","41.5%","34.4%","24.2%","12.4%","48.1%","39.5%","92.5","12.9","115.9","15.7%","50.8%","25.4%",".271",".531",".378","18360"
"Juan Soto","- - -","153","524","664","127","73","25","2","27","93","62","135","6","96","4","0","0","12","6","2",".242","20.3%","14.5%",".401",".452",".853",".210",".249","16.2%","47.1%","36.8%","17.2%",".376","3.8","145","19.9%","59.1%","35.3%","71.0%","89.2%","6.0%","38.1%","38.1%","23.8%","19.4%","51.2%","29.4%","91.0","9.1","113.2","12.4%","47.3%","25.9%",".266",".501",".401","20123"
"Mookie Betts","LAD","142","572","639","154","76","40","3","35","117","82","55","0","104","8","4","0","8","12","2",".269","8.6%","16.3%",".340",".533",".873",".264",".272","18.6%","33.7%","47.7%","15.6%",".373","6.6","144","26.0%","69.6%","44.2%","67.6%","93.9%","6.7%","45.3%","33.7%","21.0%","12.3%","49.4%","38.3%","90.5","18.6","109.0","9.7%","44.7%","23.9%",".254",".465",".344","13611"
"Joc Pederson","SFG","134","380","433","104","59","19","3","23","57","70","42","3","100","7","4","0","5","3","2",".274","9.7%","23.1%",".353",".521",".874",".247",".310","18.9%","36.1%","45.0%","18.3%",".373","2.1","144","31.7%","67.0%","45.7%","62.1%","89.1%","10.1%","37.7%","37.0%","25.4%","13.4%","46.5%","40.1%","93.1","14.8","112.8","15.1%","51.8%","26.2%",".266",".502",".367","11899"
"Rafael Devers","BOS","141","555","614","164","94","42","1","27","84","88","50","11","114","6","3","0","14","3","1",".295","8.1%","18.6%",".358",".521",".879",".225",".329","20.3%","42.2%","37.5%","16.3%",".373","4.9","140","40.3%","77.3%","54.5%","66.2%","80.4%","14.2%","34.0%","39.4%","26.6%","14.4%","50.0%","35.6%","93.1","11.3","113.7","11.5%","50.9%","25.1%",".282",".497",".361","17350"
"Trayce Thompson","- - -","80","219","255","56","28","14","1","13","36","41","32","0","93","2","2","0","2","4","1",".256","12.5%","36.5%",".353",".507",".860",".251",".374","29.7%","31.3%","39.1%","26.0%",".370","2.5","142","27.7%","67.2%","43.8%","48.7%","77.5%","14.6%","55.5%","28.9%","15.6%","9.4%","48.4%","42.2%","92.3","16.3","111.9","16.4%","46.9%","31.9%",".251",".496",".366","9952"
"William Contreras","ATL","97","334","376","93","58","14","1","20","51","45","39","1","104","1","2","0","5","2","0",".278","10.4%","27.7%",".354",".506",".860",".228",".344","15.1%","53.0%","31.9%","27.0%",".370","2.4","138","30.8%","65.3%","44.4%","55.7%","77.5%","14.0%","41.8%","36.2%","22.0%","16.8%","46.1%","37.1%","90.4","6.1","115.2","13.4%","46.6%","31.8%",".243",".479",".347","20503"
"Eloy Jimenez","CHW","84","292","327","86","58","12","0","16","40","54","28","0","72","3","4","0","8","0","0",".295","8.6%","22.0%",".358",".500",".858",".205",".337","16.5%","50.4%","33.0%","21.6%",".370","1.7","144","35.5%","73.1%","49.8%","62.2%","78.7%","14.3%","37.5%","40.2%","22.3%","11.6%","44.6%","43.8%","92.8","7.4","113.4","14.7%","54.9%","27.8%",".266",".512",".365","17484"
"Shohei Ohtani","LAA","157","586","666","160","90","30","6","34","90","95","72","14","161","5","3","0","6","11","9",".273","10.8%","24.2%",".356",".519",".875",".246",".320","19.8%","42.1%","38.1%","21.0%",".370","3.8","142","32.0%","74.5%","49.3%","62.5%","81.8%","12.6%","37.1%","35.0%","27.8%","8.9%","52.8%","38.3%","92.9","12.1","119.1","16.8%","49.8%","26.2%",".278",".552",".385","19755"
"Bryce Harper","PHI","99","370","426","106","59","28","1","18","63","65","46","9","87","3","7","0","13","11","4",".286","10.8%","20.4%",".364",".514",".877",".227",".324","24.0%","41.5%","34.5%","18.2%",".369","2.4","138","39.8%","82.5%","55.6%","61.3%","83.3%","14.8%","40.3%","34.8%","24.8%","10.0%","54.8%","35.2%","92.1","11.8","114.3","12.8%","47.9%","23.8%",".288",".527",".380","11579"
"Nathaniel Lowe","TEX","157","593","645","179","123","26","3","27","74","76","48","2","147","4","0","0","10","2","2",".302","7.4%","22.8%",".358",".492",".851",".191",".363","21.3%","48.1%","30.6%","19.9%",".368","3.0","143","34.9%","75.0%","52.2%","65.9%","86.7%","11.1%","33.0%","37.0%","30.0%","15.5%","49.3%","35.2%","90.3","8.0","113.0","9.9%","44.8%","24.2%",".275",".459",".344","19566"
"Michael Harris II","ATL","114","414","441","123","74","27","3","19","75","64","21","0","107","5","0","1","7","20","2",".297","4.8%","24.3%",".339",".514",".853",".217",".361","16.7%","56.2%","27.1%","22.9%",".368","4.8","136","41.7%","67.9%","52.2%","59.7%","86.1%","13.8%","34.7%","40.6%","24.7%","18.2%","47.7%","34.1%","89.5","4.5","112.8","10.1%","45.1%","29.2%",".268",".460",".335","25931"
"Julio Rodriguez","SEA","132","511","560","145","89","25","3","28","84","75","40","4","145","8","1","0","7","25","7",".284","7.1%","25.9%",".345",".509",".853",".225",".345","18.3%","46.0%","35.7%","21.4%",".366","5.3","146","37.1%","71.4%","50.2%","58.6%","81.9%","14.4%","41.7%","35.1%","23.2%","13.4%","52.0%","34.6%","92.0","10.1","117.2","13.1%","50.7%","29.1%",".254",".460",".337","23697"
"Yandy Diaz","TBR","137","473","558","140","98","33","0","9","71","57","78","2","60","6","1","0","10","3","3",".296","14.0%","10.8%",".401",".423",".824",".127",".323","18.6%","49.8%","31.6%","6.9%",".366","3.8","146","23.1%","65.7%","41.3%","74.0%","93.2%","5.3%","30.4%","37.7%","31.9%","14.0%","50.5%","35.5%","92.2","7.7","114.3","4.8%","48.6%","23.4%",".288",".424",".365","16578"
"Pete Alonso","NYM","160","597","685","162","95","27","0","40","95","131","67","16","128","12","9","0","17","5","1",".271","9.8%","18.7%",".352",".518",".869",".246",".279","19.9%","36.2%","43.9%","19.0%",".366","4.0","143","36.0%","74.2%","49.9%","67.7%","87.8%","10.7%","44.8%","31.2%","24.1%","17.6%","48.5%","33.9%","89.8","18.2","116.5","12.3%","44.6%","24.1%",".262",".489",".354","19251"
"Jeff McNeil","NYM","148","533","589","174","125","39","1","9","73","62","40","1","61","11","5","0","6","4","0",".326","6.8%","10.4%",".382",".454",".836",".128",".353","23.8%","41.1%","35.0%","5.4%",".365","5.9","143","33.8%","78.9%","53.3%","79.5%","89.6%","7.5%","34.2%","40.0%","25.8%","14.3%","61.0%","24.7%","86.9","12.8","110.0","2.7%","30.2%","19.0%",".280",".389",".323","15362"
"Jazz Chisholm Jr.","MIA","60","213","241","54","26","10","4","14","39","45","21","0","66","3","3","0","0","12","5",".254","8.7%","27.4%",".325",".535",".860",".282",".294","21.8%","37.4%","40.8%","23.3%",".365","2.6","139","30.7%","67.7%","46.5%","58.7%","77.8%","13.7%","50.0%","31.3%","18.7%","13.3%","50.0%","36.7%","90.2","15.1","109.6","16.6%","45.7%","30.1%",".242",".473",".345","20454"
"Vinnie Pasquantino","KCR","72","258","298","76","56","10","0","10","25","26","35","1","34","3","2","0","5","1","0",".295","11.7%","11.4%",".383",".450",".832",".155",".306","19.1%","40.9%","40.0%","11.1%",".365","1.5","137","28.9%","70.5%","45.9%","74.7%","92.0%","6.6%","42.0%","36.3%","21.7%","12.8%","50.0%","37.2%","91.2","12.1","112.7","8.8%","46.9%","22.8%",".289",".476",".374","27676"
"Andres Gimenez","CLE","146","491","557","146","100","26","3","17","66","69","34","4","112","25","3","4","9","20","3",".297","6.1%","20.1%",".371",".466",".837",".169",".353","21.1%","46.2%","32.7%","14.0%",".364","6.1","140","40.8%","70.3%","52.5%","65.5%","83.9%","13.0%","40.9%","35.8%","23.3%","18.1%","56.2%","25.6%","87.8","11.7","109.9","6.2%","37.6%","27.7%",".257",".400",".326","19950"
"Danny Jansen","TOR","72","215","248","56","31","10","0","15","34","44","25","1","44","3","5","0","1","1","0",".260","10.1%","17.7%",".339",".516",".855",".256",".255","15.9%","33.5%","50.6%","16.9%",".364","2.6","140","26.1%","69.6%","45.2%","68.1%","85.3%","9.2%","52.3%","31.3%","16.5%","22.2%","36.4%","41.5%","90.4","22.2","109.3","13.1%","46.6%","26.5%",".264",".514",".368","16535"
"Xander Bogaerts","BOS","150","557","631","171","118","38","0","15","84","73","57","2","118","10","7","0","14","8","2",".307","9.0%","18.7%",".377",".456",".833",".149",".362","21.7%","46.4%","31.8%","10.6%",".363","6.1","134","31.9%","66.0%","45.7%","66.1%","84.6%","10.6%","39.9%","34.5%","25.6%","15.7%","53.8%","30.5%","88.1","10.2","113.0","6.5%","39.5%","29.2%",".259",".383",".323","12161"
"Jose Ramirez","CLE","157","601","685","168","90","44","5","29","90","126","69","20","82","6","9","0","5","20","7",".280","10.1%","12.0%",".355",".514",".869",".235",".279","17.0%","32.4%","50.6%","10.9%",".363","6.2","139","32.3%","67.9%","46.1%","78.0%","92.3%","6.4%","46.6%","32.6%","20.8%","19.9%","50.9%","29.2%","87.7","20.7","114.2","6.6%","36.6%","22.1%",".255",".408",".320","13510"
"Carlos Correa","MIN","136","522","590","152","105","24","1","22","70","64","61","2","121","3","4","0","18","0","1",".291","10.3%","20.5%",".366",".467",".834",".176",".339","19.8%","42.7%","37.5%","14.5%",".362","4.4","140","30.8%","64.3%","44.4%","67.9%","88.1%","9.0%","41.0%","38.5%","20.5%","16.8%","47.2%","36.0%","89.9","11.6","114.6","11.4%","44.7%","27.4%",".276",".484",".363","14162"
"Taylor Ward","LAA","135","495","564","139","92","22","2","23","73","65","60","0","120","4","5","0","5","5","3",".281","10.6%","21.3%",".360",".473",".833",".192",".325","21.8%","35.0%","43.2%","14.0%",".362","3.8","137","23.6%","66.1%","41.4%","65.0%","87.4%","8.3%","40.3%","35.8%","23.9%","12.4%","52.1%","35.5%","89.9","15.8","112.6","12.1%","42.4%","27.9%",".268",".474",".361","17548"
"Jose Abreu","CHW","157","601","679","183","128","40","0","15","85","75","62","2","110","12","4","0","19","0","0",".304","9.1%","16.2%",".378",".446",".824",".141",".350","20.4%","47.9%","31.7%","9.6%",".361","3.9","137","33.6%","66.5%","47.3%","66.4%","88.4%","9.8%","38.0%","36.2%","25.9%","11.1%","51.7%","37.2%","92.2","8.0","113.0","9.5%","51.7%","26.4%",".296",".486",".373","15676"
"Alex Bregman","HOU","155","548","656","142","81","38","0","23","93","93","87","1","77","11","10","0","18","1","2",".259","13.3%","11.7%",".366",".454",".820",".195",".260","18.9%","33.3%","47.8%","10.0%",".358","5.5","136","21.8%","69.5%","40.3%","74.5%","92.0%","5.6%","48.2%","32.8%","18.9%","16.8%","52.2%","31.0%","88.9","19.5","109.2","7.3%","37.6%","22.3%",".257",".416",".350","17678"
"Willson Contreras","CHC","113","416","487","101","54","23","2","22","65","55","45","0","103","24","2","0","14","4","2",".243","9.2%","21.1%",".349",".466",".815",".224",".270","15.6%","51.4%","33.0%","21.2%",".357","3.3","132","35.4%","73.8%","50.5%","57.0%","82.4%","14.4%","44.4%","31.7%","23.8%","15.9%","42.5%","41.6%","90.4","8.5","116.2","10.5%","47.9%","27.1%",".256",".463",".364","11609"
"Byron Buxton","MIN","92","340","382","76","32","13","3","28","61","51","34","0","116","7","1","0","0","6","0",".224","8.9%","30.4%",".306",".526",".833",".303",".244","18.2%","30.7%","51.1%","24.3%",".356","4.0","136","31.1%","67.8%","46.8%","49.6%","80.6%","14.6%","58.2%","24.9%","16.9%","14.7%","43.6%","41.8%","92.9","21.4","113.5","16.4%","50.2%","30.5%",".242",".509",".358","14161"
"Starling Marte","NYM","118","466","505","136","91","24","5","16","76","63","26","0","97","13","0","0","18","18","9",".292","5.1%","19.2%",".347",".468",".814",".176",".340","22.1%","49.0%","28.9%","15.1%",".355","3.0","136","36.0%","68.5%","49.3%","65.6%","87.6%","10.8%","42.5%","33.6%","23.8%","17.1%","57.5%","25.5%","86.8","7.5","113.3","6.8%","33.9%","27.4%",".276",".428",".336","9241"
"Kyle Schwarber","PHI","155","577","669","126","56","21","3","46","100","94","86","3","200","4","2","0","10","10","1",".218","12.9%","29.9%",".323",".504",".827",".286",".240","15.7%","33.2%","51.1%","24.0%",".355","2.6","128","25.0%","62.1%","40.3%","58.3%","81.0%","11.0%","43.8%","36.9%","19.3%","16.4%","45.1%","38.5%","93.3","19.2","114.8","20.1%","54.4%","30.4%",".237",".535",".375","16478"
"J.T. Realmuto","PHI","139","504","562","139","86","26","5","22","75","84","41","1","119","12","5","0","7","21","1",".276","7.3%","21.2%",".342",".478",".820",".202",".318","19.7%","44.4%","35.9%","15.7%",".354","6.5","128","35.0%","69.2%","49.0%","66.6%","83.9%","11.4%","39.2%","33.6%","27.2%","15.4%","50.3%","34.4%","90.3","13.1","110.4","11.3%","46.7%","26.9%",".275",".463",".351","11739"
"Adley Rutschman","BAL","113","398","470","101","52","35","1","13","70","42","65","0","86","4","3","0","4","4","0",".254","13.8%","18.3%",".362",".445",".806",".191",".291","23.2%","38.4%","38.4%","10.7%",".354","5.3","133","25.4%","64.1%","40.5%","73.0%","91.5%","6.3%","43.8%","35.9%","20.3%","14.9%","54.3%","30.8%","87.9","15.6","110.9","7.9%","36.8%","25.9%",".248",".411",".342","26288"
"Brandon Nimmo","NYM","151","580","673","159","106","30","7","16","102","64","71","0","116","16","3","3","9","3","2",".274","10.5%","17.2%",".367",".433",".800",".159",".317","17.7%","50.5%","31.7%","10.9%",".353","5.4","134","26.1%","66.0%","43.7%","69.7%","89.1%","7.6%","32.1%","38.5%","29.4%","18.5%","51.5%","30.0%","89.4","6.1","111.9","7.0%","39.8%","25.8%",".261",".409",".342","12927"
"Anthony Rizzo","NYY","130","465","548","104","50","21","1","32","77","75","58","6","101","23","2","0","13","6","5",".224","10.6%","18.4%",".338",".480",".817",".256",".216","17.5%","33.2%","49.3%","17.8%",".352","2.4","132","32.1%","65.6%","45.9%","65.1%","88.1%","9.8%","48.1%","29.5%","22.4%","17.5%","50.0%","32.5%","89.4","19.3","113.3","10.9%","40.7%","26.6%",".239",".454",".349","3473"
"George Springer","TOR","133","513","583","137","86","22","4","25","89","76","54","1","100","7","5","0","7","14","2",".267","9.3%","17.2%",".342",".472",".814",".205",".285","17.9%","44.5%","37.6%","15.9%",".352","4.2","132","30.1%","78.9%","50.8%","58.4%","81.8%","13.3%","48.3%","28.5%","23.2%","18.7%","49.3%","32.1%","88.7","13.9","113.6","8.3%","41.9%","24.8%",".265",".438",".342","12856"
"Jake Fraley","CIN","68","216","247","56","35","9","0","12","33","28","26","1","54","3","2","0","1","4","1",".259","10.5%","21.9%",".344",".468",".812",".208",".289","20.1%","43.3%","36.6%","20.0%",".352","1.0","121","27.8%","70.5%","45.6%","59.4%","85.5%","10.9%","45.7%","28.0%","26.2%","18.3%","54.9%","26.8%","85.1","13.8","110.0","7.3%","27.4%","26.0%",".248",".417",".333","19260"
"Vladimir Guerrero Jr.","TOR","160","638","706","175","108","35","0","32","90","97","58","6","116","6","4","0","26","8","3",".274","8.2%","16.4%",".339",".480",".818",".205",".289","17.3%","52.1%","30.6%","19.9%",".351","2.8","132","34.2%","73.7%","49.7%","64.9%","87.4%","10.9%","39.5%","37.6%","22.8%","15.2%","46.4%","38.4%","92.8","4.3","118.4","11.2%","50.4%","25.3%",".276",".462",".348","19611"
"Trea Turner","LAD","160","652","708","194","130","39","4","21","101","100","45","1","131","3","6","0","9","27","3",".298","6.4%","18.5%",".343",".466",".809",".169",".342","21.4%","42.9%","35.7%","11.2%",".350","6.3","128","36.4%","74.5%","51.1%","60.7%","85.9%","12.8%","45.4%","32.8%","21.8%","16.3%","52.2%","31.5%","88.9","10.2","112.5","7.6%","41.4%","27.0%",".276",".432",".335","16252"
"Brandon Drury","- - -","138","518","568","136","75","31","2","28","87","87","38","0","126","8","4","0","8","2","3",".263","6.7%","22.2%",".320",".492",".813",".230",".293","19.7%","40.9%","39.4%","17.9%",".350","3.0","123","32.4%","64.8%","45.9%","70.4%","88.9%","8.6%","47.2%","30.1%","22.7%","17.2%","47.7%","35.1%","89.1","13.8","112.4","10.4%","41.7%","27.1%",".242",".420",".316","11615"
"Luis Arraez","MIN","144","547","603","173","133","31","1","8","88","49","50","2","43","3","3","0","6","4","4",".316","8.3%","7.1%",".375",".420",".795",".104",".331","25.8%","41.2%","32.9%","4.8%",".350","3.2","131","28.6%","63.1%","42.7%","91.1%","96.0%","2.5%","31.6%","37.9%","30.6%","10.3%","61.9%","27.8%","88.9","12.9","107.3","3.6%","30.2%","21.2%",".288",".408",".333","18568"
"Daniel Vogelbach","- - -","130","386","461","92","54","19","1","18","47","59","73","2","114","1","1","0","11","0","0",".238","15.8%","24.7%",".360",".433",".793",".194",".290","21.2%","37.7%","41.0%","16.1%",".349","1.5","128","22.9%","46.3%","32.2%","70.1%","90.1%","5.9%","40.3%","35.9%","23.8%","13.9%","53.1%","33.0%","89.4","15.8","110.9","10.6%","39.9%","32.0%",".236",".428",".350","14130"
"Bryan Reynolds","PIT","145","542","614","142","92","19","4","27","74","62","56","6","141","14","2","0","13","7","3",".262","9.1%","23.0%",".345",".461",".807",".199",".306","22.1%","43.2%","34.7%","19.3%",".349","2.9","125","35.6%","74.5%","50.4%","56.5%","88.0%","13.0%","40.2%","35.2%","24.6%","12.9%","57.3%","29.8%","90.2","12.0","113.2","7.9%","42.9%","26.1%",".249",".416",".329","19326"
"Brendan Donovan","STL","126","391","468","110","83","21","1","5","64","45","60","1","70","14","2","1","8","2","3",".281","12.8%","15.0%",".394",".379",".773",".097",".330","23.6%","52.8%","23.6%","6.6%",".349","2.7","129","23.2%","57.5%","37.8%","72.1%","92.9%","5.4%","35.5%","34.3%","30.2%","15.4%","58.0%","26.5%","87.7","6.0","107.0","3.4%","37.7%","27.8%",".266",".365",".339","24679"
"Will Smith","LAD","137","508","578","132","79","26","3","24","68","87","56","4","96","10","4","0","11","1","0",".260","9.7%","16.6%",".343",".465",".807",".205",".276","21.2%","31.7%","47.1%","12.2%",".349","3.9","127","25.4%","66.2%","42.6%","74.9%","87.5%","7.2%","37.7%","37.0%","25.2%","11.8%","55.5%","32.7%","89.9","18.4","109.0","10.3%","43.0%","25.9%",".257",".473",".352","19197"
"Teoscar Hernandez","TOR","131","499","535","133","72","35","1","25","71","77","34","0","152","2","0","0","18","6","3",".267","6.4%","28.4%",".316",".491",".807",".224",".335","21.6%","44.1%","34.3%","21.0%",".348","2.4","129","33.6%","71.6%","48.9%","51.2%","79.8%","15.6%","42.1%","32.6%","25.4%","10.1%","46.1%","43.8%","92.6","11.6","114.1","15.0%","52.7%","31.5%",".265",".501",".351","13066"
"Kyle Tucker","HOU","150","544","609","140","81","28","1","30","71","107","59","4","95","1","2","0","11","25","4",".257","9.7%","15.6%",".330",".478",".808",".221",".261","18.9%","34.1%","47.0%","14.2%",".348","4.7","129","30.2%","84.0%","52.5%","66.4%","88.8%","9.8%","39.9%","37.5%","22.6%","14.2%","50.3%","35.5%","90.0","19.0","111.3","10.1%","41.9%","19.3%",".262",".482",".353","18345"
"Bo Bichette","TOR","159","652","697","189","121","43","1","24","91","93","41","0","155","2","2","0","21","13","8",".290","5.9%","22.2%",".333",".469",".802",".179",".347","20.4%","48.7%","30.9%","15.6%",".347","4.5","129","38.6%","80.5%","56.0%","66.1%","88.8%","11.4%","29.3%","36.9%","33.9%","10.6%","54.5%","34.9%","91.9","8.5","112.4","9.6%","50.3%","23.0%",".278",".444",".334","19612"
"Alejandro Kirk","TOR","139","470","541","134","101","19","0","14","59","63","63","2","58","4","4","0","11","0","0",".285","11.6%","10.7%",".372",".415",".786",".130",".299","19.2%","50.0%","30.8%","10.9%",".347","3.8","129","26.3%","61.9%","41.0%","77.4%","90.9%","5.8%","35.3%","35.1%","29.6%","14.9%","47.6%","37.5%","90.5","8.1","110.1","6.7%","45.0%","25.7%",".278",".431",".351","22581"
"Hunter Renfroe","MIL","125","474","522","121","68","23","1","29","62","72","39","1","121","4","3","2","11","1","1",".255","7.5%","23.2%",".315",".492",".807",".236",".281","17.5%","36.1%","46.5%","17.6%",".347","2.5","124","34.4%","67.6%","47.7%","63.6%","84.0%","11.8%","44.1%","32.4%","23.5%","18.4%","46.4%","35.2%","90.5","17.7","112.5","10.9%","43.3%","28.2%",".240",".438",".323","15464"
"Christian Walker","ARI","160","583","667","141","78","25","2","36","84","94","69","2","131","8","7","0","15","2","2",".242","10.3%","19.6%",".327",".477",".804",".235",".248","17.4%","38.3%","44.2%","17.7%",".346","4.1","122","27.2%","70.1%","44.7%","57.7%","88.2%","10.2%","42.9%","33.8%","23.3%","16.1%","46.0%","37.9%","90.0","17.0","112.6","11.5%","44.0%","26.0%",".257",".484",".359","13419"
"Rhys Hoskins","PHI","156","589","672","145","80","33","2","30","81","79","72","0","169","6","4","0","12","2","1",".246","10.7%","25.1%",".332",".462",".794",".216",".292","22.6%","35.6%","41.7%","16.9%",".345","2.2","122","25.8%","63.9%","41.8%","58.1%","86.4%","9.9%","45.5%","31.8%","22.6%","14.2%","53.5%","32.3%","90.1","18.1","112.2","11.1%","44.2%","28.8%",".239",".445",".338","16472"
"Michael Brantley","HOU","64","243","277","70","50","14","1","5","28","26","31","2","30","1","1","1","1","1","1",".288","11.2%","10.8%",".370",".416",".785",".128",".311","24.3%","44.4%","31.3%","7.5%",".345","1.2","127","25.6%","62.9%","41.5%","81.1%","92.6%","4.8%","37.2%","41.9%","20.9%","13.0%","54.9%","32.1%","89.8","10.7","108.2","6.0%","45.1%","24.6%",".310",".467",".374","4106"
"Eugenio Suarez","SEA","150","543","629","128","71","24","2","31","76","87","73","0","196","8","5","0","12","0","0",".236","11.6%","31.2%",".332",".459",".791",".223",".302","20.2%","34.1%","45.7%","19.3%",".344","4.1","131","24.7%","65.8%","41.8%","49.7%","79.8%","12.8%","46.3%","30.1%","23.6%","13.4%","50.9%","35.8%","89.8","19.9","111.4","14.8%","43.5%","31.3%",".220",".454",".339","12552"
"Austin Slater","SFG","125","277","325","73","49","15","2","7","49","34","40","0","89","6","2","0","9","12","1",".264","12.3%","27.4%",".366",".408",".774",".144",".361","21.6%","52.4%","25.9%","14.6%",".344","2.1","124","28.3%","69.5%","44.7%","58.8%","79.0%","12.8%","34.2%","41.6%","24.2%","12.1%","56.8%","31.1%","89.0","6.6","109.4","10.5%","39.5%","30.9%",".259",".429",".351","16153"
