"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","LD%","GB%","FB%","HR/FB","wOBA","WAR","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","maxEV","Barrel%","HardHit%","CSW%","xBA","xSLG","xwOBA","playerid"
"Aaron Judge","NYY","157","570","696","177","87","28","0","62","133","131","111","19","175","6","5","0","14","16","3",".311","15.9%","25.1%",".425",".686","1.111",".375",".340","19.3%","37.3%","43.5%","35.6%",".458","11.4","207","26.8%","67.6%","42.5%","51.7%","85.2%","11.8%","47.5%","31.8%","20.8%","7.5%","44.5%","48.0%","95.8","14.9","118.4","26.2%","60.9%","28.7%",".305",".706",".463","15640"
"Yordan Alvarez","HOU","135","470","561","144","76","29","2","37","95","97","78","9","106","6","7","0","12","1","1",".306","13.9%","18.9%",".406",".613","1.019",".306",".320","21.6%","39.1%","39.4%","25.3%",".427","6.6","185","27.5%","66.8%","42.6%","62.5%","89.6%","9.0%","39.4%","39.6%","21.0%","9.2%","46.6%","44.2%","95.2","12.3","117.4","21.0%","59.8%","25.6%",".329",".672",".462","19556"
"Paul Goldschmidt","STL","151","561","651","178","102","41","0","35","106","115","79","1","141","5","4","0","7","7","0",".317","12.1%","21.7%",".404",".578",".981",".260",".368","18.9%","40.3%","40.8%","20.2%",".419","7.1","177","27.6%","61.7%","41.7%","67.7%","81.8%","9.9%","37.7%","36.3%","25.9%","15.1%","51.2%","33.7%","90.7","15.7","112.3","11.5%","46.9%","29.5%",".261",".482",".367","9218"
"Mike Trout","LAA","119","438","499","124","54","28","2","40","85","80","54","8","139","6","1","0","6","1","0",".283","10.8%","27.9%",".369",".630",".999",".347",".323","18.7%","24.7%","56.7%","23.5%",".418","6.0","176","26.3%","67.9%","43.4%","60.7%","79.6%","11.8%","41.7%","31.3%","27.0%","13.7%","47.7%","38.7%","91.6","24.6","114.4","19.7%","50.3%","29.1%",".265",".583",".395","10155"
"Jose Altuve","HOU","141","527","604","158","91","39","0","28","103","57","66","2","87","10","1","0","13","18","1",".300","10.9%","14.4%",".387",".533",".921",".233",".315","20.4%","41.0%","38.7%","16.8%",".397","6.6","164","31.4%","65.0%","43.8%","76.8%","91.0%","6.8%","51.9%","31.7%","16.3%","17.7%","52.2%","30.2%","85.9","16.1","109.8","7.7%","29.5%","24.0%",".269",".440",".354","5417"
"Joey Meneses","WSN","56","222","240","72","45","14","0","13","33","34","15","2","52","1","2","0","13","1","0",".324","6.3%","21.7%",".367",".563",".930",".239",".371","25.6%","44.8%","29.7%","25.5%",".395","1.5","156","33.1%","68.2%","48.4%","66.9%","86.4%","10.2%","39.5%","33.7%","26.7%","7.6%","56.4%","36.0%","91.4","9.5","110.9","9.9%","47.1%","28.0%",".267",".457",".332","14366"
"Freddie Freeman","LAD","159","612","708","199","129","47","2","21","117","100","84","12","102","5","7","0","6","13","3",".325","11.9%","14.4%",".407",".511",".918",".186",".359","27.5%","38.7%","33.8%","12.0%",".393","7.1","157","31.3%","76.1%","49.3%","75.0%","88.0%","8.3%","36.4%","33.7%","30.0%","12.2%","50.9%","36.9%","91.3","13.6","112.3","10.1%","48.0%","20.6%",".313",".538",".403","5361"
"Manny Machado","SDP","150","578","644","172","102","37","1","32","100","102","63","10","133","1","2","0","12","9","1",".298","9.8%","20.7%",".366",".531",".898",".234",".337","20.6%","37.8%","41.6%","17.2%",".382","7.4","152","34.2%","77.0%","50.8%","64.3%","85.6%","11.8%","41.2%","33.8%","25.1%","16.3%","45.6%","38.0%","91.5","16.0","112.4","9.8%","49.0%","24.3%",".264",".447",".338","11493"
"Nolan Arenado","STL","148","557","620","163","90","42","1","30","73","103","52","3","72","7","4","0","15","5","3",".293","8.4%","11.6%",".358",".533",".891",".241",".290","20.4%","29.7%","49.9%","12.3%",".381","7.3","151","36.1%","68.0%","48.4%","72.1%","90.8%","8.6%","47.9%","32.5%","19.6%","20.0%","48.1%","31.9%","88.7","21.7","111.4","8.2%","38.9%","24.1%",".265",".445",".339","9777"
"Albert Pujols","STL","109","307","351","83","45","14","0","24","42","68","28","1","55","10","6","0","13","1","2",".270","8.0%","15.7%",".345",".550",".895",".280",".252","16.7%","38.0%","45.3%","20.5%",".380","1.8","151","36.9%","65.8%","48.2%","69.0%","91.1%","9.2%","53.5%","29.1%","17.4%","19.4%","40.3%","40.3%","91.2","16.4","111.7","12.0%","47.3%","25.8%",".262",".499",".365","1177"
